drug_id,smiles,vector_length,fingerprint_type
DB00191,CC(C)(CC1=CC=CC=C1)N,2048,morgan
DB01177,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,2048,morgan
DB00546,CN(C)CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,2048,morgan
DB00210,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,2048,morgan
DB01029,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,2048,morgan
DB00325,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.[Fe+4],2048,morgan
DB00144,CCCC(=O)OC(COC(=O)CC)COP(=O)(O)OCC(C(=O)O)N,2048,morgan
DB00890,CC=C(C1=CC=C(C=C1)O)C(=CC)C2=CC=C(C=C2)O,2048,morgan
DB01137,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,2048,morgan
DB01243,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,2048,morgan
DB08912,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,2048,morgan
DB01586,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C,2048,morgan
DB00421,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C,2048,morgan
DB00542,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,2048,morgan
DB01221,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,2048,morgan
DB00120,C1=CC=C(C=C1)CC(C(=O)O)N,2048,morgan
DB00907,"CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC
CCCCNC(=O)C1=CC=C(C=C1)N2CCOCC2",2048,morgan
DB00358,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O,2048,morgan
DB00496,C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5,2048,morgan
DB01022,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,2048,morgan
DB00242,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,2048,morgan
DB00247,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C,2048,morgan
DB01035,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,2048,morgan
DB00128,C(C(C(=O)O)N)C(=O)O,2048,morgan
DB01000,CC1(C(N2C(S1)C(C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C,2048,morgan
DB00430,CC1=CC(=O)C(=CN1)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)O,2048,morgan
DB01236,C(OC(C(F)(F)F)C(F)(F)F)F,2048,morgan
DB00215,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,2048,morgan
DB00738,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,2048,morgan
DB01382,COCCOC1=CN=C(N=C1)NS(=O)(=O)C2=CC=CC=C2,2048,morgan
DB00145,C(C(=O)O)N,2048,morgan
DB01251,CC1(C2=C(C=C(C=C2)OC)C(=O)N(C1=O)CCC3=CC=C(C=C3)S(=O)(=O)NC(=O)NC4CCCCC4)C,2048,morgan
DB01198,CN1CCN(CC1)C(=O)OC2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,2048,morgan
DB01594,C1=CC=C(C(=C1)C2=NC(C(=O)N(C3=C2C=C(C=C3)Cl)CCC#N)O)F,2048,morgan
DB00543,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,2048,morgan
DB00185,CC1OC2(CN3CCC2CC3)CS1,2048,morgan
DB00408,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,2048,morgan
DB01403,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C,2048,morgan
DB08970,CC12CC(C3(C(C1CC(=C)C2(C(=O)CO)O)CCC4=CC(=O)C=CC43C)F)O,2048,morgan
DB00143,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,2048,morgan
DB01324,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CSCC(F)(F)F,2048,morgan
DB01331,COC1(C2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3,2048,morgan
DB06714,CC(CC1CCCCC1)NC,2048,morgan
DB01113,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,2048,morgan
DB00736,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,2048,morgan
DB08820,CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C,2048,morgan
DB00478,CC(C12CC3CC(C1)CC(C3)C2)N,2048,morgan
DB00457,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,2048,morgan
DB06738,CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O,2048,morgan
DB00163,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,2048,morgan
DB01250,C1=CC(=C(C=C1N=NC2=CC(=C(C=C2)O)C(=O)O)C(=O)O)O,2048,morgan
DB01068,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,2048,morgan
DB01567,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,2048,morgan
DB00679,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,2048,morgan
DB00320,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,2048,morgan
DB00155,C(CC(C(=O)O)N)CNC(=O)N,2048,morgan
DB00575,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,2048,morgan
DB00784,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,2048,morgan
DB01201,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,2048,morgan
DB00438,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],2048,morgan
DB01264,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,2048,morgan
DB06637,C1=CN=CC=C1N,2048,morgan
DB00675,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,2048,morgan
