protein_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219
A2QLK4,0.37173167,0.30592367,0.35198554,0.3012204,0.1738996,0.36768782,0.33927894,0.2630341,0.28010136,0.35453475,0.36155087,0.34722432,0.3760548,0.34645146,0.22694913,0.4119097,0.37672856,0.19936965,0.34126335,0.35330397,0.13347086,0.1633933,0.1483796,0.14927574,0.10038488,0.14819863,0.13799582,0.1733109,0.13278544,0.21268682,0.20406386,0.14328727,0.16960782,0.22193058,0.1424637,0.15511957,0.13214578,0.14580841,0.2139923,0.17255008,0.1351473,0.16873051,0.15388,0.16238888,0.100472905,0.15285021,0.15632327,0.16885857,0.13503833,0.2242117,0.2132951,0.15049742,0.17022213,0.25472003,0.1478958,0.16258897,0.12965481,0.15438731,0.22842814,0.18406714,0.12940064,0.16259274,0.1413579,0.1527774,0.099502265,0.14269167,0.14283639,0.17295282,0.13243783,0.20325117,0.2000067,0.13783787,0.16846521,0.23266737,0.14565547,0.14432608,0.12690243,0.14978762,0.22413628,0.16881748,0.12375063,0.15913142,0.15213943,0.15927088,0.10015411,0.14307566,0.14517239,0.16484933,0.13091876,0.20018664,0.19418061,0.13945405,0.15970884,0.22673483,0.15007272,0.14294273,0.12461734,0.14352518,0.22065037,0.16713624,0.13333489,0.17519762,0.15922765,0.16193627,0.09887187,0.15199809,0.15606561,0.17111483,0.1343104,0.21556197,0.20791458,0.15276513,0.17230354,0.23155208,0.15237246,0.15444128,0.12373207,0.1557983,0.21529683,0.18002732,0.13619795,0.17406437,0.1542407,0.16136825,0.10535788,0.1513289,0.15892576,0.17535497,0.1360654,0.21186662,0.21155284,0.15172362,0.17166023,0.2330769,0.14885631,0.15676776,0.13200752,0.148055,0.22403908,0.17212836,0.13448542,0.17182569,0.15520653,0.15992829,0.10395188,0.15389682,0.15394036,0.16326748,0.1356186,0.20590113,0.20952596,0.15010624,0.17134719,0.21750058,0.1519662,0.14958024,0.1266069,0.1363038,0.20555755,0.16827187,0.13356619,0.16667141,0.15595105,0.17180373,0.100368,0.15695196,0.16167046,0.17197971,0.14522277,0.20318803,0.20689881,0.15603614,0.16872178,0.2416174,0.15332855,0.15897302,0.131798,0.15286091,0.22229336,0.16716036,0.13714096,0.1823832,0.16275516,0.16434924,0.109085865,0.15886715,0.15500638,0.17509496,0.13620871,0.2199449,0.20974647,0.16155884,0.17173415,0.23588598,0.1613413,0.15627544,0.13070562,0.14532784,0.21887746,0.17896487,0.13324271,0.18316501,0.15969028,0.1763055,0.10294691,0.15898006,0.16392094,0.18629596,0.1379202,0.21951707,0.21711057,0.16301183,0.17585397,0.23633553,0.15751104,0.15395024,0.1277189,0.14206204,0.21286844,0.1772442
A5X5Y0,0.3156763,0.32719132,0.34234586,0.28293383,0.21748191,0.3269449,0.3176608,0.21519718,0.31542432,0.41112104,0.39294633,0.32124594,0.4028553,0.3494774,0.27098015,0.42608118,0.41008374,0.19407222,0.31211984,0.40307435,0.12590326,0.16481374,0.19156651,0.19653566,0.15559857,0.15391937,0.1441206,0.13459219,0.18760593,0.23189211,0.23425159,0.14945051,0.2131295,0.22031981,0.18825138,0.19536245,0.2115279,0.20710023,0.2130627,0.22093081,0.113623865,0.14509936,0.17053787,0.15762824,0.15397657,0.142262,0.13247822,0.13979067,0.19746712,0.22261141,0.22493494,0.1482881,0.20650478,0.21168363,0.18221945,0.16833997,0.16918989,0.2071738,0.21255021,0.20881985,0.12397567,0.17368264,0.20264709,0.17997603,0.1608039,0.1590749,0.15725917,0.1420243,0.19747992,0.22128835,0.23581325,0.15423055,0.20832345,0.23383488,0.19215454,0.1943858,0.18977487,0.19837005,0.21881612,0.21390401,0.124409296,0.1461735,0.17943318,0.1808762,0.16013588,0.14102636,0.14481124,0.15537155,0.1807335,0.21933138,0.22046664,0.13471809,0.20403785,0.24416845,0.20749643,0.18264966,0.17977317,0.20400518,0.23213463,0.20497984,0.115102984,0.18244548,0.1868487,0.1719309,0.15518223,0.15235972,0.16517349,0.15155813,0.18980567,0.2366378,0.23344395,0.15617946,0.2353119,0.21531904,0.20042305,0.18923165,0.19046031,0.20102833,0.2140888,0.213109,0.12975782,0.16128655,0.18151133,0.18776488,0.15837862,0.15502194,0.15741442,0.13644019,0.18870866,0.23897582,0.24537127,0.1565523,0.23714377,0.24594623,0.21068244,0.18991424,0.19897333,0.20247738,0.21313223,0.21173862,0.11728918,0.18573795,0.19011565,0.18932548,0.16303201,0.15602951,0.16744894,0.15386221,0.20043078,0.24926507,0.24025208,0.14815941,0.22106162,0.23718372,0.21015923,0.18081439,0.18927076,0.20956522,0.20610301,0.2261357,0.12920311,0.16735485,0.19318824,0.18779111,0.17270531,0.14695147,0.16102454,0.13944635,0.20386381,0.25294164,0.24622416,0.15540287,0.22720335,0.23560551,0.21896496,0.19601785,0.20376632,0.21178818,0.21236171,0.23143765,0.13140365,0.1795517,0.19159752,0.18316732,0.16411269,0.15656331,0.18393347,0.14265628,0.19363861,0.24128816,0.25200543,0.16633664,0.23606731,0.23592444,0.2231755,0.18876013,0.19368541,0.21962464,0.22105207,0.21668784,0.12759973,0.17516774,0.18860073,0.19446762,0.17576607,0.15304692,0.16122936,0.15138292,0.19752724,0.2390181,0.25021583,0.15933584,0.21470837,0.2344817,0.22449695,0.18248208,0.200453,0.2033522,0.22968812,0.22151276
A8MPY1,0.3381792,0.3429873,0.3458536,0.28593406,0.20542099,0.33896554,0.3393077,0.22516309,0.32768077,0.41526768,0.39292783,0.34802845,0.43429714,0.36347568,0.29872185,0.4291679,0.42715162,0.22733666,0.32850185,0.4075449,0.12660156,0.16629542,0.17964388,0.17959438,0.16252801,0.1694762,0.15111066,0.12199985,0.18751328,0.2266719,0.2318531,0.15016867,0.21132483,0.22285728,0.16647078,0.19906168,0.18108271,0.20443045,0.19814844,0.20759062,0.11074588,0.15254612,0.16589598,0.1412391,0.16186057,0.13793942,0.12348459,0.12831193,0.18466353,0.22245517,0.20010974,0.13745674,0.20450006,0.2098689,0.17189287,0.1563719,0.1575063,0.21607926,0.21054852,0.19761802,0.11080576,0.15491098,0.19729029,0.15896778,0.16349003,0.1531141,0.15175788,0.124872714,0.18838714,0.21859646,0.21303481,0.15190242,0.20767534,0.23447415,0.18084918,0.18697548,0.17355171,0.21273258,0.21843302,0.18576273,0.12110962,0.16123538,0.18203874,0.17392251,0.15703367,0.13830058,0.14226979,0.13119808,0.18075436,0.21182436,0.20470746,0.13167061,0.20111477,0.24052326,0.18707697,0.17689142,0.1618542,0.2164701,0.21678175,0.18269993,0.109997004,0.18418062,0.1827869,0.16857253,0.15447706,0.15597092,0.15365133,0.1391821,0.19034451,0.23435071,0.22726358,0.14839995,0.22621076,0.22654048,0.16608624,0.17332779,0.18004149,0.22872828,0.2068785,0.19818087,0.113799386,0.1618512,0.17839114,0.16734937,0.14828353,0.13972844,0.14486718,0.1282992,0.17966987,0.22376928,0.20548937,0.15195078,0.20807882,0.2291905,0.1881141,0.1797472,0.17584212,0.21819808,0.20986429,0.1889942,0.10933837,0.18326654,0.18899249,0.17512164,0.17078267,0.1492282,0.15957095,0.13859627,0.20213366,0.23237753,0.2151273,0.1543796,0.20786919,0.24008447,0.18985426,0.18077742,0.1753514,0.21354781,0.20702817,0.20082244,0.1153606,0.17877828,0.18505137,0.17383896,0.16951747,0.15206434,0.1554108,0.1378261,0.18601854,0.2304368,0.21804048,0.16336702,0.2157792,0.22958024,0.18817101,0.18170443,0.17751476,0.22116803,0.20733683,0.19617385,0.1265088,0.18404192,0.1874948,0.16332065,0.16959831,0.1497336,0.16625547,0.13077767,0.19468439,0.23879226,0.22935462,0.14977793,0.22056384,0.2215705,0.182648,0.18024871,0.17499924,0.22964142,0.19737132,0.20327479,0.116576046,0.18459448,0.19106764,0.19319637,0.16902283,0.15765558,0.1559078,0.1363403,0.19206345,0.22349297,0.21836913,0.16184844,0.21670589,0.24995933,0.2014776,0.17906198,0.18069325,0.21951488,0.21551682,0.19154578
A9UF02,0.40853176,0.38790476,0.39513633,0.3622053,0.2050661,0.4481653,0.43761835,0.30809948,0.32504165,0.26933563,0.28597075,0.41785976,0.31980357,0.22408497,0.37861148,0.5088231,0.407578,0.14550334,0.24073842,0.29411,0.114395,0.1802504,0.14256243,0.16665515,0.116014674,0.15355581,0.1713372,0.15879962,0.14555183,0.16467589,0.17045543,0.15539813,0.13913764,0.15139076,0.15969986,0.13630162,0.111191176,0.1146449,0.134874,0.14582765,0.11455554,0.17536063,0.14491025,0.1720385,0.1205079,0.15531269,0.18248092,0.1604095,0.14235309,0.17412947,0.17892489,0.16160892,0.14003085,0.15027642,0.16240393,0.1419057,0.111282036,0.11142445,0.1322006,0.15390974,0.113582425,0.18262617,0.15000603,0.17941405,0.11954097,0.14920075,0.17315711,0.17013948,0.14260553,0.16289254,0.16562007,0.15836442,0.14209905,0.15531205,0.16601972,0.14104082,0.112031296,0.11973018,0.13944326,0.1480581,0.1175294,0.17993815,0.15205348,0.1854005,0.11503192,0.15223,0.17713182,0.16993691,0.1486079,0.16550274,0.17122875,0.15548937,0.13918778,0.14200239,0.17180456,0.14285645,0.11096249,0.10934459,0.1344133,0.14819703,0.11434983,0.18681301,0.16293365,0.19387423,0.117268756,0.16126628,0.18463826,0.16911747,0.15528214,0.15927653,0.16458374,0.15970793,0.1382771,0.14661287,0.17158066,0.14986105,0.11908874,0.11511074,0.13461316,0.13855474,0.123891994,0.19157583,0.1583761,0.1841019,0.12246482,0.1668366,0.19085413,0.17516188,0.1521237,0.17062266,0.17629144,0.17292163,0.13337643,0.15060842,0.1688196,0.14518973,0.115478076,0.11474723,0.13883483,0.15111299,0.11778262,0.18302904,0.15378197,0.1850313,0.11620013,0.15610284,0.18149503,0.17559741,0.16066179,0.16884731,0.1713686,0.1584296,0.1439346,0.14141907,0.17134596,0.14160018,0.11479121,0.11926793,0.13305058,0.14885023,0.116245665,0.19171624,0.15644908,0.18297993,0.11329317,0.16521277,0.18332401,0.1737619,0.14994206,0.1671642,0.17188935,0.16429114,0.14088325,0.14974129,0.17122936,0.14841366,0.11198155,0.11759252,0.14005469,0.14576824,0.121617794,0.18895327,0.14790708,0.18320335,0.12525387,0.16380268,0.18811402,0.17230321,0.15861702,0.17252523,0.17866707,0.16661085,0.1460672,0.14779288,0.18219705,0.14376001,0.11717553,0.12098879,0.13952117,0.153709,0.11867369,0.18826883,0.14733233,0.17999364,0.121106304,0.16028254,0.18019545,0.17157179,0.152578,0.16330485,0.1658704,0.16303116,0.13431248,0.14456607,0.17680405,0.1408619,0.11636162,0.11347787,0.13351096,0.149751
B0B3C9,0.4125567,0.35174522,0.313279,0.3013664,0.2418089,0.36877832,0.3627048,0.27975625,0.28812116,0.3860316,0.35110864,0.37118053,0.3746608,0.2706878,0.28040785,0.4176209,0.43160135,0.15997711,0.29107112,0.40990788,0.13997737,0.19116354,0.14478685,0.17468347,0.17152244,0.1583434,0.15795739,0.20402572,0.15121841,0.21779247,0.19120197,0.1468511,0.17485237,0.1783705,0.18084031,0.14097619,0.16745393,0.14247738,0.17275311,0.20970069,0.15206932,0.19767848,0.14252236,0.1673019,0.16549803,0.15232486,0.16524026,0.20591003,0.15746394,0.24217184,0.21833777,0.16028114,0.18761796,0.16329378,0.20652923,0.1449491,0.17458166,0.14435637,0.18327387,0.21708757,0.14834265,0.19973941,0.1515856,0.17212597,0.17878835,0.16044086,0.16200873,0.21441476,0.152546,0.25515094,0.21652208,0.15053159,0.19012196,0.18130912,0.20632175,0.13559653,0.16411011,0.1418355,0.18812864,0.2228548,0.13657126,0.1991651,0.1523116,0.1739385,0.17447908,0.15899214,0.15785412,0.21535079,0.1618666,0.25378922,0.21080191,0.15684627,0.16917868,0.17279102,0.19574587,0.14869204,0.16729309,0.14331715,0.18696755,0.22328928,0.1453072,0.21329015,0.158142,0.19842255,0.16725305,0.17473173,0.19087017,0.20878664,0.16349246,0.25096044,0.21978639,0.17793266,0.1889209,0.19201422,0.20886815,0.13827369,0.17079638,0.14242375,0.19279812,0.22716652,0.14284258,0.2076708,0.16255948,0.17537528,0.18309087,0.1773045,0.18632464,0.20925678,0.16027425,0.22306772,0.20284711,0.17532472,0.18314418,0.18368186,0.21174608,0.14286897,0.15906298,0.14243822,0.19193435,0.20660055,0.1572177,0.21016698,0.15538506,0.16742066,0.16652057,0.1550827,0.17107207,0.21458268,0.1548255,0.22119798,0.2014554,0.15666111,0.17061636,0.18098976,0.20243298,0.14597908,0.17292777,0.14266267,0.19763215,0.20620887,0.1483332,0.20866942,0.15756364,0.18581897,0.17799845,0.16605185,0.18475094,0.20186594,0.14767103,0.23189075,0.1946861,0.16543956,0.17311934,0.17819059,0.21176948,0.13691585,0.17168619,0.15304719,0.18867967,0.21118277,0.14638793,0.21542487,0.16251746,0.17741731,0.17455278,0.17718492,0.18913108,0.21086974,0.16482046,0.2424365,0.21705882,0.18111841,0.17829643,0.18659918,0.21392958,0.1464002,0.16755278,0.14467399,0.19267504,0.22414626,0.14235657,0.21178743,0.15484868,0.17571525,0.17210537,0.16695523,0.19174379,0.212068,0.15670396,0.23880373,0.21720926,0.1711037,0.19126587,0.16387206,0.21629678,0.14765519,0.18001862,0.1349133,0.18279798,0.21632926
C1KC03,0.42240897,0.37349826,0.40479097,0.36974135,0.11971446,0.42356905,0.3965975,0.3185728,0.28266415,0.37614006,0.33969572,0.44101197,0.34260234,0.2752661,0.31899112,0.4523871,0.43812588,0.18603958,0.34821475,0.37720478,0.13184702,0.1653411,0.1879394,0.20219475,0.055971276,0.16756247,0.15226337,0.19468884,0.15080976,0.22656885,0.21348523,0.17369196,0.1623201,0.16835326,0.16908343,0.1394355,0.14579518,0.15357535,0.21364778,0.19185367,0.12233225,0.19246636,0.1926966,0.19999059,0.05392504,0.1858274,0.18559621,0.19287598,0.14907053,0.22754158,0.19005647,0.21368802,0.16719367,0.18242368,0.16940278,0.14416358,0.14437132,0.16699483,0.21752918,0.19289951,0.12577257,0.17236622,0.17797276,0.19997345,0.055195935,0.16449212,0.15746659,0.17916413,0.14019802,0.22659624,0.19848585,0.17918772,0.17031157,0.16786842,0.18397649,0.1360318,0.14651006,0.14288008,0.20376536,0.19503891,0.14137125,0.16992918,0.19046268,0.2001226,0.058539286,0.15347569,0.15664642,0.18745925,0.15910639,0.23012017,0.17780115,0.17174552,0.15134501,0.16663872,0.19256456,0.13510105,0.15110484,0.14412458,0.21678177,0.18886974,0.14254475,0.17262931,0.20187108,0.21151605,0.055598054,0.17886765,0.16918555,0.19061829,0.14822483,0.22082865,0.2016733,0.18673074,0.1718503,0.17341813,0.19097632,0.13764605,0.15699248,0.15411082,0.20440884,0.20138809,0.14298338,0.16949096,0.20956168,0.22352438,0.057678707,0.1931183,0.19439581,0.20229183,0.14566734,0.24077652,0.22004159,0.20964114,0.17845082,0.15409644,0.20732768,0.14336886,0.15723632,0.15776086,0.22012495,0.20447159,0.1360707,0.17048861,0.19623315,0.21018083,0.05906211,0.17753853,0.17710765,0.18623833,0.1518162,0.21930562,0.19712122,0.20366733,0.17046244,0.17682223,0.1979707,0.13338014,0.15471533,0.1646253,0.23233227,0.20269136,0.1449811,0.18283111,0.20069024,0.21074006,0.058737047,0.1619986,0.17613058,0.19178897,0.15100504,0.21247551,0.19904394,0.19113131,0.16073573,0.17817162,0.19702046,0.12795143,0.15401492,0.16444053,0.21513762,0.17661741,0.13840494,0.18394409,0.20076844,0.21407081,0.059340753,0.18087399,0.18476558,0.19349132,0.14384983,0.2279458,0.19462368,0.20252663,0.16754563,0.17566928,0.19880353,0.13236198,0.15049872,0.15245354,0.22136171,0.18384263,0.13362668,0.18742226,0.20508194,0.23738672,0.055649303,0.19021091,0.1883297,0.20261326,0.15491839,0.2206769,0.1916051,0.21350572,0.16463242,0.1710057,0.20174132,0.14434308,0.15862417,0.16306783,0.22780211,0.1860365
F1L7U3,0.3422349,0.28046024,0.37648204,0.32697392,0.20193125,0.36309782,0.3494358,0.23668188,0.27671012,0.30563083,0.2998558,0.31571174,0.32799783,0.25401595,0.18393055,0.42148146,0.36521626,0.10843613,0.2555441,0.30616084,0.1514097,0.19258504,0.22180237,0.21954682,0.16994907,0.20752127,0.18690003,0.18567489,0.17230426,0.24473414,0.21268857,0.17751518,0.19633551,0.21410254,0.13707718,0.18942994,0.1671903,0.09521429,0.20809568,0.22359689,0.16166766,0.19597894,0.24423914,0.23778795,0.16194662,0.23433489,0.22444102,0.18102472,0.18289377,0.27964598,0.25519902,0.19381778,0.23094298,0.2375174,0.14593408,0.19315296,0.16369581,0.09809908,0.21740016,0.250013,0.15962653,0.18707596,0.21759412,0.19447462,0.17800608,0.18016185,0.16981307,0.19014227,0.16239718,0.24453826,0.22467068,0.16807914,0.23233086,0.21274228,0.15091547,0.1738958,0.1614513,0.085411936,0.21348228,0.23367688,0.15854515,0.17285508,0.209904,0.20501174,0.18964103,0.18042932,0.18431467,0.176936,0.17421372,0.23342486,0.22739178,0.16537018,0.21808863,0.21586111,0.13213195,0.17168435,0.17699324,0.09412227,0.19741294,0.21410903,0.15982728,0.20610765,0.21404536,0.22037607,0.17465454,0.20446904,0.18713915,0.18200341,0.19407238,0.24341613,0.23755322,0.19214974,0.2362758,0.2260887,0.13722795,0.18998341,0.17595354,0.092817076,0.19934323,0.2174361,0.160539,0.19810364,0.25601017,0.24598792,0.18440767,0.21744299,0.205038,0.19440003,0.18503968,0.2721019,0.24133076,0.2039111,0.24601932,0.22412872,0.14664674,0.21099636,0.18059641,0.100503966,0.20937186,0.23907644,0.15828228,0.19696093,0.22541372,0.20566182,0.18367617,0.21246651,0.18965198,0.20822726,0.17600851,0.24471839,0.22530328,0.18598318,0.21935454,0.20589508,0.13543193,0.16951576,0.15689974,0.09733824,0.20373379,0.21592446,0.15615363,0.19915797,0.19971184,0.21961655,0.16206957,0.19218789,0.195232,0.19001628,0.18179502,0.24874032,0.23216332,0.18545492,0.19734235,0.21753345,0.14936809,0.17848136,0.16999796,0.083390035,0.21125552,0.23026396,0.16040735,0.19938569,0.22329889,0.25702098,0.1796866,0.20657153,0.22322676,0.1953609,0.18553579,0.26993978,0.26915553,0.19904228,0.23766464,0.22932728,0.13464625,0.19304493,0.1791232,0.1014413,0.22096406,0.2395885,0.16095938,0.20830613,0.21805437,0.22334804,0.16390124,0.22576459,0.21340175,0.20592585,0.19082992,0.25268742,0.22878155,0.19562715,0.22182655,0.22421515,0.14157924,0.1875683,0.17729293,0.09306829,0.20810539,0.22374666
O00180,0.4396267,0.34576154,0.31158015,0.27753586,0.26907793,0.36517894,0.34687367,0.31600818,0.30209023,0.41214138,0.44599697,0.33699593,0.43561554,0.40222326,0.24813564,0.42543992,0.4255181,0.23613632,0.3701744,0.43630314,0.13245124,0.1291595,0.12021307,0.13290861,0.16428779,0.09315697,0.11731695,0.19462559,0.15501373,0.17656626,0.18767372,0.08868181,0.16006182,0.20517942,0.14772724,0.14211376,0.12718835,0.20622864,0.18192255,0.14626043,0.13975044,0.13600875,0.13283175,0.15339652,0.18353523,0.10726506,0.14482412,0.19667631,0.14750102,0.21212527,0.21985951,0.103334345,0.17359951,0.23086917,0.15229647,0.15073378,0.12184417,0.1965584,0.20253731,0.18014379,0.14548805,0.12527092,0.114800304,0.12955025,0.19142123,0.09617483,0.12343352,0.19747609,0.16148256,0.1740385,0.15972228,0.08793096,0.14630611,0.202969,0.15735374,0.13208745,0.1357566,0.24635823,0.1913051,0.16296656,0.13473532,0.12820503,0.118518785,0.13691686,0.18258719,0.10353235,0.1241938,0.209946,0.17251977,0.18085332,0.18062127,0.094519205,0.15743724,0.21700498,0.17184138,0.13833913,0.1446178,0.2333536,0.20471454,0.15690371,0.14634816,0.14267464,0.12460774,0.15243286,0.18079858,0.12357024,0.15066175,0.1889757,0.16717947,0.20328727,0.20423025,0.11250991,0.17530705,0.22587708,0.15604678,0.16091794,0.14394009,0.22115242,0.20090371,0.16778187,0.13952067,0.13995895,0.13288155,0.15249543,0.21377827,0.12053563,0.14573224,0.19331847,0.16227491,0.19204828,0.19083948,0.118958965,0.17390285,0.2298092,0.17106038,0.1530994,0.14898849,0.19964793,0.19961305,0.17584725,0.15158665,0.16181697,0.12786937,0.14623244,0.20658353,0.11705978,0.13228145,0.18289357,0.16485773,0.18895195,0.19181979,0.11520031,0.15161659,0.2154837,0.17404172,0.1493772,0.1424553,0.20540965,0.20508596,0.17357218,0.13445057,0.16257644,0.14512596,0.1567936,0.20857798,0.12754719,0.14474055,0.17908798,0.1690146,0.1964302,0.19999507,0.12333756,0.16841558,0.21176594,0.18810903,0.15872216,0.13488653,0.1926795,0.17949286,0.1716571,0.13748503,0.172031,0.1289556,0.1789284,0.19611786,0.14173923,0.16774222,0.16495436,0.19489382,0.18792866,0.19542405,0.130641,0.1610656,0.25486964,0.17677331,0.154981,0.13839467,0.21869652,0.21925578,0.1602188,0.14288002,0.18558113,0.1368961,0.16827004,0.21070956,0.1503192,0.17405301,0.1831846,0.19459781,0.18634185,0.20021836,0.14084469,0.16345268,0.23665647,0.19340284,0.12864752,0.1153901,0.2287424,0.20436044,0.16837125
O00206,0.2646065,0.38653678,0.44476682,0.33080366,0.37753302,0.39479882,0.37587464,0.26944563,0.47523677,0.3726816,0.42485958,0.35444143,0.3571431,0.36326528,0.3097823,0.48631623,0.362867,0.3212086,0.29989207,0.30742237,0.08715435,0.2124779,0.21331146,0.18905993,0.15878525,0.20515607,0.16569945,0.16692573,0.27722147,0.2138236,0.31443667,0.1839045,0.14372917,0.1857974,0.15062651,0.22849824,0.14184433,0.1924472,0.15465507,0.11945057,0.08253112,0.18601392,0.22591089,0.1825357,0.17084529,0.18604153,0.17951286,0.19689506,0.22252221,0.25280055,0.30333537,0.17704813,0.14244542,0.19191493,0.18455303,0.20560713,0.16418317,0.1753778,0.13314745,0.1356678,0.0772587,0.14441907,0.19471182,0.16013898,0.18374185,0.14317048,0.14953831,0.16956607,0.18541731,0.20921315,0.21005312,0.13517389,0.13514417,0.17671172,0.20050949,0.16185173,0.1434473,0.2093191,0.13397107,0.1359301,0.08173105,0.21072695,0.22293076,0.19749026,0.18817511,0.19497317,0.1830704,0.16287734,0.26441973,0.21445389,0.2933894,0.19097282,0.13771196,0.20159009,0.21095541,0.20780592,0.15597051,0.20436727,0.15484573,0.13329142,0.08448089,0.17073691,0.20452844,0.17520976,0.19469373,0.16576123,0.16326454,0.16865233,0.1752541,0.21411373,0.24133421,0.18494874,0.13850792,0.18049142,0.19713688,0.15813616,0.14249602,0.19650331,0.12824795,0.13992815,0.080924496,0.19745128,0.27211556,0.2164422,0.19637787,0.18613571,0.18038426,0.18604219,0.25830317,0.25981766,0.2740448,0.18864697,0.14693289,0.1858979,0.19350024,0.20391315,0.15376236,0.19912533,0.15939076,0.15783018,0.087151416,0.19968462,0.23618934,0.21065521,0.21160276,0.1923422,0.19527803,0.17488685,0.23809725,0.24357715,0.2800147,0.18432182,0.14915083,0.18801364,0.19667862,0.19617173,0.17265779,0.19843476,0.15507992,0.15706418,0.08854334,0.17180684,0.19562179,0.17045815,0.19921651,0.15961342,0.16984105,0.1773079,0.19599593,0.19417128,0.22975586,0.16808099,0.12566155,0.14293309,0.22404857,0.17961887,0.17077464,0.20657736,0.15163581,0.13379419,0.09409087,0.21187772,0.21444754,0.18504412,0.19377853,0.19973843,0.16885035,0.18471198,0.25603637,0.21912232,0.2896862,0.19713892,0.16027777,0.18686391,0.24349454,0.20730779,0.14129306,0.21226884,0.16188319,0.13289051,0.09303652,0.17447653,0.23399338,0.19089752,0.20412757,0.15698229,0.15722775,0.18280052,0.22393109,0.21487272,0.25306058,0.15521316,0.15109238,0.18750435,0.2607388,0.18046905,0.12682192,0.21040876,0.15279433,0.13799903
O00264,0.4115867,0.31141567,0.33966848,0.35765198,0.14504926,0.38772833,0.41137737,0.3254328,0.28423375,0.2932985,0.32226732,0.38315356,0.321453,0.27929315,0.2730425,0.44148,0.37649634,0.15345205,0.25134957,0.3161268,0.13141023,0.15204406,0.13962087,0.18819666,0.06462347,0.14355412,0.16320461,0.20776816,0.12112152,0.16213682,0.17818809,0.15299045,0.12570284,0.18969017,0.14372763,0.1388592,0.14473337,0.10263071,0.15846561,0.13857597,0.14181858,0.1644571,0.14847802,0.20058288,0.07494938,0.15590376,0.17942306,0.20461605,0.14127606,0.18831715,0.20222534,0.16576783,0.12967913,0.20674133,0.173991,0.14889266,0.13027626,0.11024489,0.152218,0.17766237,0.13484901,0.147897,0.13301943,0.19132233,0.06691084,0.14854664,0.18396132,0.2014042,0.14615385,0.16998886,0.19858094,0.16510136,0.12770298,0.20797102,0.16278398,0.13707961,0.13205971,0.10215274,0.15842366,0.15933375,0.13115986,0.1411184,0.14279616,0.20439379,0.06517896,0.16544619,0.1964268,0.21765412,0.15575837,0.16750604,0.21642783,0.17309159,0.1447693,0.22107704,0.16103815,0.15160821,0.13740392,0.104845285,0.16023737,0.14334938,0.123106144,0.16773984,0.14051832,0.2194104,0.07008041,0.16136327,0.21339445,0.25507057,0.1313986,0.17864765,0.20088878,0.18657689,0.12220603,0.22772487,0.16230854,0.13006707,0.11021787,0.1102537,0.16932353,0.16236381,0.14708117,0.15851998,0.14738269,0.19938979,0.07157783,0.167647,0.19267774,0.21590152,0.12650424,0.19360347,0.2342036,0.16624026,0.15328266,0.23049106,0.17705092,0.16222136,0.1530073,0.1081272,0.16284838,0.17369093,0.14242151,0.18069424,0.15410973,0.199158,0.07204932,0.15988694,0.20491612,0.21694672,0.12566626,0.18997172,0.2087826,0.18151815,0.13836347,0.21946526,0.17645852,0.14616622,0.12631358,0.12569594,0.16943075,0.16535603,0.14640625,0.13876413,0.13526149,0.23107077,0.06642682,0.13436791,0.20663281,0.20987292,0.13096613,0.18186241,0.21501167,0.13863228,0.13104513,0.19176693,0.19038299,0.14827053,0.12398082,0.10446264,0.15272585,0.16080923,0.13686185,0.14323545,0.14621386,0.2313301,0.0751001,0.16174354,0.21457976,0.21441498,0.13552408,0.17464529,0.21456206,0.14769046,0.13872813,0.19647188,0.18163121,0.14825277,0.12518062,0.11215013,0.14109737,0.15320176,0.13893738,0.16174434,0.15322332,0.20308289,0.0718079,0.15411697,0.1905062,0.19475211,0.14870687,0.18817939,0.21795984,0.15791868,0.1453304,0.21230815,0.2000993,0.14190048,0.12652771,0.12191847,0.1661733,0.16726643
