drug_id,smiles,vector_length,fingerprint_type
D01977,CC(CN1C(=O)C2=C(C=C(C=C2)C(=O)OC)N=C1SC(C)C(=O)N3CCCC3)O,2048,morgan
D00328,CC(C)(C)C1=CC=C(C=C1)SCC(=O)NNC(=O)C2=CC=CC=C2,2048,morgan
D01712,CC(C(=O)NC1CCCC1)OC(=O)CN(C)S(=O)(=O)C2=CC=C(C=C2)F,2048,morgan
D01118,COC1=CC=CC(=C1)C2=NOC(=N2)COC(=O)C3=CC4=C(C=C3)SCCC(=O)N4,2048,morgan
D00231,CC(C(=O)NC1=CC=C(C=C1)F)OC(=O)COC2=CC=CC=C2Cl,2048,morgan
D03806,CC(C(=O)NC1=CC=CC=C1OC)NC2=CC3=C(CCC3)C=C2,2048,morgan
D03670,CCOC1=C(C=C2C(=C1)CC(O2)C)CNC(=O)CC3=CC=C(S3)S(=O)(=O)N4CCCC4,2048,morgan
D00131,CC1=CC=C(C=C1)C2=NN(C=C2C(=O)OCC3=CC4=C(C=C3)OCO4)C5=CC=CC=C5,2048,morgan
D02229,COC(=O)C1=CC2=C(C=C1)C(=O)N(C(=N2)SCC#N)CC3CCCO3,2048,morgan
D00902,CC(C)CCC(=O)OCC(=O)NC1=CC(=CC=C1)S(=O)(=O)N(C)C2=CC=CC=C2,2048,morgan
D00225,CC(C)C(C(=O)NC(=O)N)OC(=O)COC1=CC=CC=C1Cl,2048,morgan
D00208,CC1CC2=CC=CC=C2N1C(=O)C(C)OC(=O)COC3=CC=CC=C3Cl,2048,morgan
D00964,CCCOC1=C(C=C(C=C1Cl)C=CC(=O)OCC2=CC=C(C=C2)C#N)OC,2048,morgan
D00425,CCC1=C(SC(=C1)C(=O)OCC(=O)NC2=CC(=CC=C2)[N+](=O)[O-])C,2048,morgan
D03798,CC(C1=CC(=CC=C1)C(F)(F)F)NC(C)C(=O)NC2=CC=CC=C2OC,2048,morgan
D03717,CC1(C(=O)N(C(=O)N1)CC2=CC(=CC=C2)Br)C3=CC=CC=C3,2048,morgan
D01332,C1CSC2=C(C=C(C=C2)C(=O)OCC3=CC(=O)OC4=C3C=CC(=C4)O)NC1=O,2048,morgan
D03350,CCCOC1=CC=CC=C1NC(=O)C2=CC3=NC=CN=C3C=C2,2048,morgan
D00437,CC(C)(C)C1=CC=C(C=C1)SCN2C(=O)C3=CC=CC=C3N=N2,2048,morgan
D00371,CC(C)(C)C1=CC=C(C=C1)SCC(=O)NN2C(=O)C3(CCCCC3)NC2=O,2048,morgan
D00542,CC(C)C(C(=O)NC(=O)N)OC(=O)CNS(=O)(=O)C1=CC2=C(CCCC2)C=C1,2048,morgan
D00623,C1=CC=C(C(=C1)OCC(=O)NC2=CC=CC(=C2)C#N)Br,2048,morgan
D03720,CC1=CC(=CC(=C1)C(=O)NNC2=CC=CC=C2[N+](=O)[O-])C,2048,morgan
D03807,CN(CC1=CC=CC=C1F)C(=O)NC2=CN=CC=C2,2048,morgan
D02451,CCNC(=O)NC(=O)COC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)C,2048,morgan
D00410,CC(C)(C)C1=CC=C(C=C1)SCC(=O)NC2=CC=C(C=C2)C(=O)N,2048,morgan
D04025,C#CCNC(=O)N1CCN(CC1)C2=CC=C(C=C2)F,2048,morgan
D04292,C1=CC=NC(=C1)CNS(=O)(=O)C2=CC(=C(C=C2)C#N)Cl,2048,morgan
D03731,C1=CC=C(C=C1)C2=CSC(=N2)C3=CSC=C3,2048,morgan
D02315,CC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)OCC(=O)NCCOC,2048,morgan
D01441,CC(C(=O)C1=CC=C(C=C1)OC)OC(=O)C2=CC3=C(C=C2)SCCC(=O)N3,2048,morgan
D00002,CCC1=NC2=CC=CC=C2C(=C1C)C(=O)OCC(=O)C3=CC=CC=C3Cl,2048,morgan
D02729,CC1=CC(=C(C=C1)F)NC(=O)C2=CC(=CC=C2)NC(=O)C,2048,morgan
D04092,C1CCC(CC1)(CNC(=O)C2=CC(=C(C=C2)Cl)Cl)N3CCOCC3,2048,morgan
D00279,CC1=CC(=C(C(=C1)C)NC(=O)COC(=O)COC2=CC=CC=C2Cl)C,2048,morgan
D01133,CC(C)CCC(=O)OC(C(C)C)C(=O)NC(=O)N,2048,morgan
D02341,CCOC(=O)N1CCN(CC1)C(=O)COC(=O)C2=C(C=CC(=C2)S(=O)(=O)C)C,2048,morgan
D00021,CCC1=NC2=CC=CC=C2C(=C1C)C(=O)OC(C)C(=O)N(C)CC3=CC=CC=C3,2048,morgan
D02333,CC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)OCC(=O)NCC23CC4CC(C2)CC(C4)C3,2048,morgan
D00160,CCC(C1=CC=C(C=C1)C)NC(=O)COC(=O)COC2=CC=CC=C2Cl,2048,morgan
D00528,C1=CC=C(C(=C1)NC(=O)COC2=CC=CC=C2Br)OC(F)F,2048,morgan
D03773,CC1CCC2=CC=CC=C2N1C(=O)CSC3=NN=C(S3)NCC=C,2048,morgan
D00094,CCC1=NC2=CC=CC=C2C(=C1C)C(=O)OCC(=O)NC3=CC=CC=C3C(=O)N,2048,morgan
D00187,C1C(=O)N(C(=O)S1)CCNC(=O)COC(=O)COC2=CC=CC=C2Cl,2048,morgan
D03218,CC1=CC(=C(C(=O)N1)CNC(=O)C2=CC=CC=C2C(F)(F)F)C,2048,morgan
D01027,CC1=C(C=C(C=C1)C(C)NC(=O)COC(=O)C2=CC3=C(C=C2)SCCC(=O)N3)C,2048,morgan
D00513,C1C(=O)NC2=CC=CC=C2N1C(=O)COC3=CC=CC=C3Br,2048,morgan
D00380,CCC1=C(SC(=C1)C(=O)OCC(=O)NCC2=CC=C(C=C2)C(=O)OC)C,2048,morgan
D03829,CCCC1C(=O)N(C(=O)N1)CC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3,2048,morgan
D03784,COCCNC(=O)N1CCN(CC1)C2=CC=CC=C2Cl,2048,morgan
D05407,CCCCC1=NOC(=N1)CS(=O)(=O)CC(=O)N,2048,morgan
D02731,CCC1=CC=CC=C1NC(=O)CNC(=O)C2=CC(=CC=C2)NC(=O)C,2048,morgan
D00141,C1=CC=C(C=C1)OC2=CC=CC=C2COC(=O)COC3=CC=CC=C3Cl,2048,morgan
D03772,C=CCNC1=NN=C(S1)SCC2=CC=CC3=C2N=CC=C3,2048,morgan
D04023,CCCN1C(=O)C(=CC2=CC=CC=C2F)NC1=S,2048,morgan
D01549,CCC1CCCCN1C(=O)COC(=O)C2=CC3=C(C=C2)SCCC(=O)N3,2048,morgan
D04983,C1CC1CNC(=O)CS(=O)(=O)CC2=CC=C(C=C2)Br,2048,morgan
D00569,C1C2CC3CC1CC(C2)(C3)CNC(=O)COC4=CC=CC=C4Br,2048,morgan
D00219,C1=CC=C2C(=C1)C(=O)N(C2=O)COC(=O)COC3=CC=CC=C3Cl,2048,morgan
D03034,COC1=CC(=CC(=C1OC)OC)CNC(=O)C2=C(C=CC(=C2)Cl)Cl,2048,morgan
D02328,CC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)OCC(=O)NC(C)(C#N)C(C)C,2048,morgan
D00332,CC1=CC(=C(N1C2CCS(=O)(=O)C2)C)C(=O)CSC3=CC=C(C=C3)C(C)(C)C,2048,morgan
D03260,CC1=C(OC2=C1C=C(C=C2)OC)C(=O)NC3=CC(=NN3C)C(C)(C)C,2048,morgan
D00398,CCC1=C(SC(=C1)C(=O)OCC(=O)NC2=C(C=CC(=C2)[N+](=O)[O-])OC)C,2048,morgan
D00118,CC1CCCCN1C(=O)COC(=O)C2=CN(N=C2C3=CC=C(C=C3)C)C4=CC=CC=C4,2048,morgan
D01223,CNC(=O)COC(=O)C1=CC2=C(C=C1)SCCC(=O)N2,2048,morgan
D00584,C1CCC(C1)NC(=O)NC(=O)COC2=CC=CC=C2Br,2048,morgan
D02308,CC1=C(C=C(C=C1)S(=O)(=O)C)C(=O)OCCOC2=CC=C(C=C2)Br,2048,morgan
D02698,CC1=CN=C(S1)NC(=O)CNC(=O)C2=CC=CC=C2F,2048,morgan
D02375,CC1=CC=CC=C1C=CC(=O)OC(C)C(=O)NC2=CC=C(C=C2)C(=O)C,2048,morgan
D00298,C1=CC(=C(C=C1C2=CC=C(O2)CO)C(=O)[O-])Cl,2048,morgan
D01911,CC(CN1C(=O)C2=C(C=C(C=C2)C(=O)OC)N=C1SCC3=CC(=CC=C3)F)O,2048,morgan
D00538,CC1=CC(=C(N1CC2CCCO2)C)C(=O)COC3=CC=CC=C3Br,2048,morgan
D00125,CC1=CC=C(C=C1)C2=NN(C=C2C(=O)OC(C)C(=O)N3CCCC3)C4=CC=CC=C4,2048,morgan
D03816,CC(C1=CC=C(C=C1)S(=O)(=O)C)NC(=O)CNC(=O)C2=CC=CO2,2048,morgan
D00417,CCC1=C(SC(=C1)C(=O)OCC(=O)NC2=CC=CC=C2F)C,2048,morgan
D00216,CC(C(=O)NC(=O)NC)OC(=O)COC1=CC=CC=C1Cl,2048,morgan
D00960,CCCOC1=C(C=C(C=C1Cl)C=CC(=O)OC(C)C(=O)NC2CC2)OC,2048,morgan
D01164,CC(C)CCC(=O)OC(C)C(=O)NC1=CC=C(C=C1)C(=O)N,2048,morgan
