protein_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219
hsa:10,0.3324117,0.34460637,0.38361785,0.3337416,0.19036043,0.39702234,0.400672,0.252923,0.3357123,0.37013605,0.3536567,0.38846642,0.34472874,0.31695792,0.250924,0.40143603,0.4263536,0.17403585,0.32394305,0.3647906,0.117077954,0.19101886,0.2102648,0.22425014,0.14132194,0.16445927,0.20828229,0.16684274,0.2074065,0.23984623,0.24672648,0.18161328,0.17688929,0.25150347,0.17253757,0.15356596,0.16986786,0.13673733,0.24162991,0.20302862,0.109717846,0.21211225,0.19011378,0.2074429,0.14690723,0.1861582,0.2166477,0.18035898,0.21288511,0.24949214,0.23876709,0.20572445,0.1608211,0.24509856,0.15866151,0.13140537,0.14851099,0.1617468,0.22255214,0.20326334,0.1047736,0.2005174,0.21027622,0.19704138,0.13880195,0.1821383,0.19135398,0.1969823,0.2207728,0.2355208,0.24626811,0.19804339,0.16964006,0.26576915,0.18411486,0.12647617,0.15678246,0.15989321,0.23482262,0.20784104,0.10274608,0.21477994,0.21043904,0.22715575,0.14469342,0.18377937,0.22546737,0.19971149,0.20343494,0.23622121,0.22064532,0.18906496,0.16168605,0.23819993,0.196698,0.13538322,0.1463873,0.14597216,0.23429497,0.18702476,0.11311048,0.19544542,0.20719059,0.21766569,0.13957512,0.1806597,0.20279902,0.20463108,0.21757242,0.23535065,0.2396668,0.17937082,0.16818002,0.22235826,0.19427396,0.13382965,0.16591649,0.1330771,0.20566842,0.19257282,0.11146417,0.20037028,0.1986967,0.23185001,0.1437339,0.17457736,0.21804707,0.1905008,0.20151976,0.23864031,0.23432681,0.20261593,0.16083758,0.22411945,0.18060493,0.1301345,0.1561587,0.14450806,0.22616145,0.2052983,0.09557722,0.19617918,0.20512584,0.24753337,0.15487857,0.19125547,0.23598337,0.18041164,0.21754,0.22088373,0.24605681,0.19157164,0.16666692,0.25009802,0.20019318,0.150363,0.1553373,0.14304645,0.21688916,0.16942191,0.10690737,0.21887296,0.22097291,0.22632305,0.15274158,0.17636512,0.21950015,0.18746696,0.19986181,0.23155703,0.23275654,0.2023322,0.163789,0.22242744,0.2022098,0.14970967,0.16889617,0.14803112,0.22568011,0.20602013,0.09829052,0.19333814,0.18797643,0.22319183,0.151883,0.17702626,0.20493726,0.18837914,0.20227592,0.23834598,0.22698352,0.1819178,0.17255273,0.23703346,0.23145476,0.13076195,0.16338432,0.13998383,0.22066785,0.2062127,0.11016778,0.20049262,0.20573482,0.24890627,0.14720473,0.1816572,0.22443421,0.1579471,0.19975108,0.24141489,0.25227785,0.20138067,0.16882624,0.23520437,0.2041897,0.14021239,0.16275726,0.13780475,0.22711766,0.21494932
hsa:100,0.42417485,0.3264696,0.331929,0.3571164,0.21803741,0.35342902,0.387461,0.24546435,0.3291311,0.35086057,0.363004,0.35620698,0.35205382,0.31223714,0.23991081,0.35538828,0.34645897,0.17432757,0.31182393,0.34843275,0.1874628,0.20637992,0.20313549,0.26669973,0.18382794,0.17022933,0.22005214,0.1879606,0.2148727,0.27339387,0.28525057,0.19494843,0.21699086,0.23007278,0.14917661,0.15116958,0.15763235,0.1534177,0.19016917,0.23061879,0.18367216,0.23534712,0.1837607,0.27866128,0.18126978,0.2205223,0.3031511,0.1651254,0.19914237,0.23693712,0.2379625,0.23161216,0.19531709,0.24776018,0.18690555,0.1497337,0.15210228,0.15583134,0.188115,0.23390672,0.17872581,0.20460875,0.18184054,0.24193458,0.16210781,0.16246258,0.22804336,0.18350321,0.20521058,0.25291702,0.260908,0.19243537,0.18964982,0.21790865,0.18901655,0.13691989,0.15520519,0.17132545,0.20118245,0.23761885,0.17022714,0.17388956,0.17093363,0.24236721,0.17082663,0.16051778,0.20414314,0.1743724,0.22220193,0.22715354,0.24085276,0.16790752,0.21796232,0.22636437,0.18487114,0.14735489,0.15656564,0.15720694,0.19614778,0.19989052,0.18247426,0.22287735,0.21198383,0.31395444,0.19211891,0.19950218,0.27309856,0.16974276,0.21070534,0.24731132,0.25932273,0.23192354,0.1970513,0.25434804,0.19366144,0.16080078,0.15101545,0.1614427,0.2036065,0.22842263,0.18937384,0.22796562,0.18367094,0.2771571,0.18371199,0.21476732,0.2689215,0.19461109,0.21802062,0.2607925,0.2392134,0.24038725,0.19081156,0.2340709,0.20940773,0.1611551,0.17419042,0.16639674,0.20072791,0.24046083,0.19518389,0.21799186,0.20266612,0.27082703,0.19222392,0.18946135,0.2580483,0.191844,0.21694331,0.27243197,0.2754959,0.21242146,0.21734697,0.23964271,0.21713217,0.16432521,0.14853096,0.17302172,0.22374049,0.23577645,0.1838065,0.2167574,0.20642966,0.2624577,0.17640314,0.18391608,0.24663743,0.18923847,0.21901937,0.23131134,0.22229883,0.22138627,0.19930416,0.21976322,0.1975168,0.159771,0.16617969,0.15891534,0.2172095,0.21909007,0.18933848,0.23967986,0.20514457,0.30679268,0.16705379,0.2168852,0.29866415,0.18320426,0.22042097,0.243883,0.26922768,0.24006379,0.16716935,0.2475203,0.21138242,0.1507132,0.15447462,0.16307773,0.21543092,0.218794,0.19184539,0.23652045,0.18865472,0.24651374,0.18571986,0.2184284,0.26497835,0.19836341,0.22966622,0.24682081,0.24028417,0.25087616,0.20337762,0.2350833,0.20483187,0.17775929,0.1632948,0.16951188,0.22488472,0.21601585
hsa:10056,0.36918518,0.33550465,0.36167893,0.36512432,0.17754734,0.32046783,0.41197035,0.2594766,0.27670246,0.40649998,0.38210118,0.3708384,0.31116137,0.30311158,0.26426095,0.36413977,0.3466681,0.14917178,0.27025005,0.37293646,0.142436,0.19710831,0.1892832,0.22880971,0.1186855,0.13329525,0.2153776,0.18160245,0.16282521,0.28716433,0.27711678,0.19047168,0.17982556,0.21617977,0.16896018,0.15496445,0.1548886,0.12778084,0.17524303,0.23362589,0.15041967,0.20237167,0.1772059,0.21717279,0.12544136,0.14074071,0.220635,0.18104959,0.16144644,0.26412085,0.26357028,0.17556521,0.17496756,0.20173487,0.18660131,0.14408353,0.1417889,0.1221638,0.17453314,0.22076367,0.16353634,0.18799132,0.19002765,0.23872279,0.13042183,0.13907857,0.22414948,0.20113572,0.16256718,0.2679368,0.23865889,0.18555157,0.15989564,0.22199762,0.18476619,0.1500663,0.14885135,0.13932884,0.18893364,0.22398978,0.16106911,0.19232318,0.1812499,0.23020177,0.12328064,0.14903046,0.22392453,0.18190092,0.14802471,0.26535484,0.24045832,0.18338718,0.15733719,0.2200366,0.18356141,0.13653977,0.1545578,0.13069144,0.18517464,0.2332843,0.16876872,0.20928715,0.19784057,0.25402036,0.13022737,0.15484776,0.23942493,0.19729067,0.16706502,0.27361533,0.26681656,0.1913627,0.17176738,0.21500325,0.1965393,0.15110637,0.15431075,0.14007677,0.18047309,0.24477188,0.1683851,0.2184845,0.21262518,0.26592094,0.13704221,0.15772237,0.25535434,0.20974804,0.16510832,0.26263848,0.26486316,0.22176658,0.17837514,0.23528585,0.20209268,0.1553626,0.16297424,0.12288937,0.17682724,0.22497973,0.16366729,0.20697926,0.20221451,0.25257695,0.13552761,0.15432458,0.23441108,0.18869999,0.17070414,0.2547955,0.2502311,0.20766966,0.16744761,0.1943905,0.22444844,0.15058172,0.151141,0.11888154,0.17372921,0.22194333,0.16162881,0.22250204,0.20045297,0.26106605,0.13547024,0.1474229,0.2519232,0.2040553,0.1592718,0.27655637,0.25380498,0.20211379,0.18212253,0.21330403,0.21110262,0.14668387,0.14755861,0.12527283,0.17851701,0.2311769,0.15011905,0.21117127,0.19543473,0.24187566,0.12378736,0.1513347,0.2500717,0.19048133,0.16939974,0.24745268,0.24221265,0.19809483,0.15388857,0.19628717,0.21703412,0.14831291,0.15742253,0.12743616,0.1675766,0.2192287,0.16697468,0.2227836,0.21213354,0.26751626,0.1402823,0.15898958,0.26086962,0.20439851,0.17156374,0.2532196,0.22909221,0.20963621,0.16107175,0.20900673,0.2292286,0.15274887,0.15981099,0.13412586,0.18487789,0.22574885
hsa:1017,0.24423635,0.34125793,0.30133918,0.30443874,0.2349353,0.32048336,0.33309618,0.17993449,0.33145103,0.340613,0.34811562,0.38303727,0.347432,0.2704841,0.2273761,0.30944788,0.2642983,0.131991,0.24907467,0.31024972,0.1401036,0.23132497,0.17789471,0.22056834,0.18618661,0.20131429,0.2577303,0.1646789,0.19193152,0.29817766,0.2993623,0.2640138,0.23225157,0.2196701,0.15592939,0.17415783,0.15329519,0.13173959,0.20441106,0.24743247,0.15032269,0.27169466,0.18029238,0.21932234,0.15236755,0.2290271,0.26501483,0.16230541,0.21725278,0.32689553,0.32704586,0.30440953,0.23622534,0.2437541,0.17548092,0.19132964,0.15503298,0.13940144,0.2226978,0.2772837,0.16255824,0.22964413,0.18081461,0.21940789,0.2042579,0.18745339,0.22843824,0.16086586,0.20155163,0.25172463,0.2685911,0.24759491,0.1893262,0.23215966,0.17461607,0.18851124,0.14651138,0.14070858,0.20036191,0.24734254,0.15764411,0.23365892,0.20852621,0.23975733,0.17880225,0.1955915,0.23290089,0.182377,0.2208885,0.30591017,0.2764327,0.23651834,0.2160654,0.22614288,0.16838294,0.18026862,0.16174915,0.13417096,0.20409822,0.25632703,0.13505653,0.2866512,0.22853033,0.26216382,0.177198,0.23027611,0.27830958,0.16208345,0.23523504,0.28940943,0.3065046,0.28302324,0.22916576,0.23263305,0.20644563,0.18623102,0.14843611,0.1451864,0.20029669,0.24855414,0.145786,0.2777781,0.20856948,0.26995856,0.18892679,0.2096526,0.24713871,0.16901435,0.24198668,0.3029873,0.3108229,0.29053676,0.24289092,0.24390046,0.20256792,0.1858005,0.17072532,0.14088774,0.22042392,0.25811642,0.13757202,0.2592763,0.23189558,0.27162835,0.18568277,0.21372318,0.24419306,0.18967295,0.2500795,0.29799137,0.27542514,0.28842914,0.23239332,0.23757493,0.20622037,0.18097435,0.17620681,0.1409198,0.22013427,0.24664089,0.16127312,0.24905959,0.23987205,0.28621006,0.19606711,0.20866367,0.26596597,0.1626338,0.25916868,0.30033818,0.29224274,0.25779688,0.24949336,0.229019,0.22029348,0.20425951,0.16615877,0.13238643,0.2038454,0.24166434,0.15522656,0.26184407,0.2167003,0.2626227,0.17644261,0.216011,0.27267048,0.15655258,0.28031003,0.2921088,0.27191862,0.27807882,0.23971198,0.21867816,0.22395119,0.21429409,0.17941424,0.12806697,0.21686542,0.23747005,0.13464779,0.25751176,0.22280253,0.29350033,0.19079927,0.22741096,0.26953638,0.18161862,0.25585368,0.29219353,0.2903,0.29558462,0.23364645,0.20936649,0.2379648,0.21153641,0.17657436,0.1316614,0.21908213,0.25509968
hsa:1018,0.24505968,0.34151414,0.3015791,0.30921364,0.24222882,0.32390258,0.34809378,0.17868829,0.32426527,0.32753873,0.34006044,0.3895959,0.3453686,0.268024,0.22861896,0.31030738,0.2609188,0.13028419,0.24816717,0.30691767,0.14112134,0.23527022,0.17649908,0.21655111,0.2037618,0.19733278,0.2536425,0.16354914,0.19281515,0.2911737,0.28133363,0.25821623,0.22188468,0.22847839,0.16004495,0.16901857,0.14925572,0.13344531,0.21387005,0.24205196,0.1447371,0.2756111,0.18721691,0.22040853,0.17288595,0.2311351,0.25973108,0.16009162,0.2146625,0.32351363,0.32173732,0.299373,0.23940371,0.24442051,0.17451286,0.17693077,0.14728,0.1394988,0.22331475,0.27267188,0.1617902,0.242029,0.18652521,0.22341876,0.22379674,0.18487512,0.22753121,0.15938097,0.19268285,0.2582779,0.2599926,0.25123525,0.18209627,0.2269664,0.17798929,0.18185276,0.14862697,0.13642487,0.20826744,0.24512573,0.15546964,0.22902188,0.21013337,0.24749947,0.19765256,0.1885133,0.2340971,0.18442191,0.20501734,0.29994634,0.26759923,0.24366131,0.21101582,0.22911032,0.17927499,0.17922233,0.15266092,0.14047137,0.20767017,0.25439873,0.13513438,0.28016576,0.23537399,0.2615893,0.19462135,0.22184819,0.27219135,0.15802987,0.23168716,0.2868071,0.29323894,0.27821392,0.2273814,0.23584984,0.19888228,0.18200621,0.14106221,0.14575039,0.20353404,0.24397135,0.1426478,0.27391043,0.21392247,0.27450052,0.20021991,0.20472799,0.23872748,0.16306432,0.23865695,0.29969603,0.29764485,0.28213534,0.23286514,0.2457495,0.2170994,0.1830776,0.17149116,0.13694407,0.22610027,0.25011393,0.14484137,0.26790708,0.23242038,0.27717683,0.19612399,0.21453625,0.25754562,0.1892615,0.23825362,0.3079391,0.27801278,0.2830012,0.23315077,0.23543552,0.20803966,0.17457566,0.1690313,0.14380293,0.2136617,0.25566792,0.16398124,0.25464472,0.23879956,0.29400176,0.21398754,0.20129527,0.2666053,0.16099939,0.24730292,0.29158196,0.27839226,0.2543467,0.2397883,0.22681339,0.22116618,0.19155627,0.15850511,0.13032869,0.19819343,0.23719479,0.16397882,0.2600814,0.22143519,0.26313302,0.19172423,0.20884286,0.27682024,0.15368049,0.2790797,0.2865644,0.25667065,0.27746195,0.23236671,0.22048812,0.22715862,0.2003791,0.17552963,0.13302507,0.222101,0.23221575,0.14148547,0.25786546,0.2293672,0.2888988,0.2063183,0.21915676,0.2652281,0.17997825,0.24792945,0.29108194,0.29006147,0.29772717,0.23791106,0.21459106,0.24627376,0.20240241,0.16914509,0.13253401,0.22386567,0.2537992
hsa:10188,0.41824007,0.41779903,0.36401045,0.3681303,0.21701103,0.44066504,0.43204936,0.3251199,0.31594986,0.29112914,0.33507022,0.420509,0.33738554,0.24475653,0.4468142,0.51349837,0.41982868,0.15762563,0.24549586,0.32440057,0.11288749,0.18194285,0.13290198,0.16929486,0.13545996,0.14930199,0.155791,0.15227018,0.15747243,0.16568051,0.18309964,0.14823386,0.14849147,0.1571118,0.17617045,0.124770164,0.11875295,0.13534449,0.13446054,0.1492363,0.118780814,0.19636168,0.13475691,0.17551674,0.13707162,0.16337518,0.169365,0.162003,0.16631423,0.17827211,0.19590424,0.15695353,0.14448002,0.14724159,0.19876415,0.12679583,0.11826417,0.12790667,0.13873512,0.16059245,0.12107629,0.1794936,0.13249587,0.16556196,0.13465907,0.13974242,0.15129352,0.168745,0.15097089,0.15842944,0.17652416,0.1352371,0.14585102,0.15066734,0.18794745,0.11790257,0.1149529,0.13054842,0.1455797,0.15353541,0.12067364,0.17856084,0.14452954,0.17819114,0.1338098,0.14649247,0.16107517,0.17509994,0.16516659,0.16260263,0.18703964,0.13658163,0.15104967,0.15881796,0.1930566,0.12749293,0.11658068,0.12585407,0.14533217,0.1549469,0.118018314,0.20278093,0.13976973,0.17939045,0.14439559,0.16002658,0.17277429,0.17070328,0.1665002,0.16304351,0.19255984,0.15486787,0.14946009,0.15450582,0.19738427,0.13243935,0.1146008,0.13385011,0.13918415,0.15045506,0.12557915,0.19534905,0.14178143,0.17332746,0.13907059,0.16188881,0.16348809,0.18353224,0.17087312,0.16919014,0.1921526,0.15555477,0.1420957,0.15763953,0.20124058,0.1306508,0.120778486,0.12931485,0.14843978,0.15422277,0.11563469,0.18526235,0.14383101,0.18094721,0.13619885,0.15401301,0.16703077,0.19088829,0.16841163,0.17155398,0.18868865,0.14533478,0.15512264,0.14473096,0.20233472,0.12721877,0.12179808,0.13155574,0.141887,0.15631281,0.115170345,0.18756898,0.14388067,0.18111119,0.13884647,0.16083087,0.16890927,0.17684706,0.1679115,0.16080159,0.19233917,0.14326218,0.14855663,0.14607123,0.19775498,0.1372197,0.11504394,0.13264352,0.14193684,0.14707218,0.12127644,0.1848283,0.14840265,0.18134417,0.150712,0.15947632,0.16801836,0.16924481,0.17327872,0.17104216,0.19414261,0.15077098,0.1564343,0.15024379,0.20609838,0.13679165,0.121841334,0.13126482,0.14453664,0.153336,0.12095587,0.19249886,0.14940119,0.18760556,0.13301206,0.16353297,0.17552467,0.17476611,0.17149223,0.17746867,0.18863694,0.15247081,0.15082349,0.1471364,0.20263274,0.13333406,0.12072432,0.13422322,0.13451825,0.1640688
hsa:1019,0.25443268,0.3443038,0.32046008,0.31618297,0.24413896,0.3295101,0.35228607,0.19544666,0.33115628,0.33810017,0.3431553,0.38435712,0.3491882,0.2765528,0.22941089,0.32109025,0.27796507,0.1475336,0.24971253,0.31464946,0.1465827,0.22046651,0.17392832,0.20661747,0.1860419,0.18483031,0.24383502,0.16485283,0.19279206,0.28553665,0.2735041,0.24369726,0.21301818,0.21299566,0.15894906,0.16265568,0.14633027,0.13479513,0.20381244,0.22065225,0.15679045,0.2587805,0.18263826,0.20973618,0.16732852,0.22086443,0.25579876,0.15919985,0.20378998,0.31240296,0.31308195,0.2950231,0.21883795,0.24582337,0.17844997,0.1785702,0.14628057,0.14251544,0.2146251,0.25373593,0.16843638,0.22183317,0.19210447,0.21342623,0.20514068,0.18295166,0.21281284,0.1789514,0.18828899,0.24640152,0.2590361,0.22916174,0.18200548,0.2251314,0.17718913,0.18484457,0.14983205,0.14166872,0.18801503,0.23397718,0.15822002,0.22106464,0.21535535,0.23599118,0.18388055,0.1921727,0.23551962,0.1895571,0.20029092,0.28854546,0.26521292,0.22826,0.2044479,0.23467834,0.19133568,0.1788614,0.15425074,0.14627825,0.19990048,0.2443862,0.14012487,0.27123782,0.22934997,0.25280967,0.185272,0.21420926,0.2645463,0.17623633,0.21663733,0.28136614,0.28551376,0.2733378,0.20737647,0.23861074,0.20747606,0.18979284,0.14932874,0.15246135,0.19645227,0.2295866,0.14940958,0.26848948,0.21585445,0.25813818,0.18122414,0.20747621,0.23893929,0.17775208,0.21865681,0.2932493,0.28163546,0.2805165,0.2200767,0.23984812,0.21909411,0.18134546,0.16765212,0.14852712,0.20531769,0.24595052,0.14915097,0.2520095,0.23713395,0.26839525,0.19654219,0.21023194,0.2561589,0.20193718,0.22892432,0.28367892,0.26524705,0.276389,0.22127204,0.24360095,0.2212275,0.1839651,0.17506172,0.14924788,0.20523922,0.2395021,0.16968189,0.25176334,0.24434908,0.28469735,0.20541781,0.21817374,0.2684512,0.17430766,0.23175474,0.27515972,0.27049544,0.26309317,0.23899241,0.22219814,0.23230547,0.19806877,0.15687206,0.13623075,0.18002832,0.22123781,0.16197775,0.26199412,0.23487234,0.26439184,0.17913626,0.22302212,0.2689378,0.16972554,0.24598579,0.29509118,0.26348978,0.26845983,0.23099466,0.22146648,0.24155153,0.21691209,0.18094297,0.14785865,0.20112908,0.2278814,0.14690623,0.27475783,0.238686,0.28990299,0.19989607,0.2284902,0.26270017,0.18600325,0.25426924,0.2928936,0.28140882,0.2982138,0.23152515,0.21377745,0.24727613,0.20553483,0.17751457,0.14554565,0.20690838,0.24216516
hsa:1020,0.24081293,0.34108284,0.30138826,0.3033167,0.2341912,0.31525725,0.32628036,0.19066563,0.3210997,0.33567792,0.3424173,0.38724756,0.34430802,0.28195328,0.22784385,0.30378285,0.26098147,0.14021434,0.25562286,0.30637392,0.13955681,0.22947814,0.1786246,0.21377178,0.2012066,0.18916337,0.23684153,0.17227505,0.17992614,0.287265,0.29313692,0.25450617,0.22635885,0.2132312,0.15538692,0.16468936,0.14555597,0.12507226,0.19638684,0.24180797,0.14894864,0.26580754,0.18687737,0.21658042,0.16537055,0.22775702,0.2548926,0.17203996,0.20626947,0.3173021,0.32386777,0.3036939,0.23386545,0.24710657,0.18068779,0.18270892,0.15044464,0.13717231,0.2263242,0.2688068,0.16824791,0.23310757,0.18977977,0.21766822,0.22313368,0.18661492,0.2090308,0.17455152,0.1903756,0.26066417,0.26873583,0.25190312,0.18410568,0.22999768,0.17698576,0.18562898,0.1475268,0.14319143,0.21017744,0.25060308,0.15857056,0.2363817,0.21539249,0.23686764,0.1958788,0.20759511,0.23498303,0.19914919,0.2031669,0.30999056,0.27325732,0.24583466,0.2132091,0.22920926,0.16604911,0.18282814,0.14684345,0.12880167,0.20007235,0.2599355,0.13069414,0.2903378,0.23842241,0.25720045,0.1868293,0.21786128,0.2612797,0.16904302,0.2207296,0.29081663,0.3069138,0.28680083,0.22831726,0.2499194,0.21431746,0.18685657,0.14318892,0.1390726,0.20778236,0.2426257,0.14652953,0.27344504,0.20527305,0.25464955,0.19672754,0.19794771,0.22237822,0.16757739,0.21756904,0.29438838,0.30001038,0.2849359,0.2257476,0.2546802,0.20324065,0.1795335,0.1688599,0.13152577,0.22718011,0.25361317,0.14994507,0.2685496,0.2348205,0.27498266,0.20370315,0.20736216,0.24563695,0.19494128,0.22526285,0.31014988,0.27863595,0.28527895,0.22155832,0.22392511,0.21940315,0.1891177,0.17102848,0.13886547,0.20622857,0.25688666,0.16317672,0.25369462,0.2420715,0.27966818,0.20236997,0.21606462,0.25882527,0.17473078,0.23540801,0.29824167,0.28487363,0.2554324,0.24150719,0.23963386,0.22635537,0.19776879,0.15506482,0.13838391,0.20280384,0.23703809,0.15010187,0.26814282,0.21764205,0.24439006,0.19111703,0.2107259,0.26632285,0.16357285,0.26254112,0.28680283,0.2760118,0.2769577,0.23095357,0.21386418,0.22152533,0.20749083,0.17185344,0.13347776,0.21347252,0.23201868,0.13947801,0.27058077,0.22433956,0.28908134,0.19139385,0.2216171,0.25228935,0.17786019,0.23846738,0.2966505,0.29261407,0.3058159,0.23189409,0.21089984,0.24285401,0.1934291,0.16816315,0.12918957,0.21253857,0.24500732
hsa:1021,0.260529,0.35357097,0.3209538,0.33309242,0.2428748,0.33675444,0.36755425,0.195456,0.34286985,0.33581853,0.3354135,0.39915383,0.34669176,0.291541,0.2587893,0.3509205,0.29568672,0.15191574,0.2546284,0.31573373,0.12938112,0.21384019,0.1770711,0.22110373,0.18778679,0.18406907,0.22544566,0.15412492,0.19118598,0.27738792,0.27618137,0.24034074,0.22036088,0.23427293,0.16251913,0.16546048,0.13936374,0.14595443,0.19389375,0.21614084,0.14301538,0.2571542,0.18179432,0.21583828,0.1698201,0.22406374,0.24732825,0.15867865,0.20253567,0.30835202,0.31244215,0.28481668,0.2236006,0.2513815,0.17279471,0.18351252,0.14961839,0.14427286,0.2056173,0.24959248,0.16068938,0.21869725,0.18566896,0.21977694,0.19800064,0.18423103,0.20594603,0.17350687,0.18506913,0.23478,0.24993849,0.22722283,0.18780276,0.22868589,0.16999055,0.18804374,0.1531505,0.14877442,0.18515679,0.2190048,0.14546426,0.20887467,0.20206541,0.2329438,0.19247337,0.1914336,0.22547285,0.18221837,0.21259958,0.27564317,0.25549212,0.22378208,0.2022054,0.23552603,0.18756078,0.18219435,0.14960712,0.15097275,0.19602485,0.23261498,0.13152932,0.26234227,0.22364075,0.2700345,0.18762125,0.20798333,0.26127687,0.16783445,0.2296772,0.27485496,0.27854246,0.2628005,0.20169576,0.24410911,0.20639741,0.18763947,0.14503776,0.16194014,0.19811498,0.22015621,0.14504303,0.26120797,0.21540323,0.25956684,0.18329678,0.19925337,0.23486929,0.17175232,0.21708289,0.28086635,0.28282666,0.27449724,0.222278,0.23934174,0.21296163,0.18793057,0.16451578,0.14440073,0.20510784,0.23426703,0.14040793,0.25287417,0.23115827,0.27473712,0.19995031,0.21791764,0.24895704,0.18871348,0.22925872,0.28734404,0.262275,0.28348917,0.22363444,0.2502608,0.22298609,0.18588257,0.17550226,0.15287782,0.20234202,0.23362345,0.15601416,0.24737976,0.23775113,0.28010482,0.19794951,0.21086958,0.26694137,0.17009313,0.23291884,0.27453682,0.26699528,0.26063034,0.23396546,0.24077179,0.22986493,0.20481256,0.16014391,0.13828798,0.18439268,0.21845973,0.14892128,0.24733765,0.22470786,0.2675127,0.18088053,0.21489504,0.2567994,0.17106037,0.24106593,0.2692389,0.25323236,0.2636527,0.21959797,0.22080359,0.2368843,0.21970375,0.17177561,0.16004016,0.202725,0.20602605,0.13893501,0.26476765,0.22888714,0.29737037,0.1908136,0.22807355,0.25513053,0.17964955,0.26023716,0.27890167,0.2777223,0.2936997,0.23518656,0.23432106,0.24926816,0.20153914,0.17450364,0.15211858,0.21421829,0.23406309
hsa:1022,0.2664286,0.36400095,0.32270783,0.33649853,0.23349752,0.34566694,0.3814361,0.19792892,0.34282103,0.33415556,0.3452994,0.41276175,0.35588098,0.27085686,0.26531398,0.35171732,0.28943405,0.14789812,0.2568308,0.31195936,0.13898262,0.20694247,0.17487055,0.1989007,0.1746847,0.17685223,0.22836897,0.15593792,0.16753972,0.2730976,0.27962825,0.2339034,0.22938652,0.19807531,0.15875474,0.15372936,0.15121728,0.14079583,0.17508073,0.22058742,0.14521068,0.2509042,0.17251824,0.2068347,0.15273781,0.20445566,0.23327428,0.15482932,0.19394542,0.29483324,0.3030779,0.27312288,0.22525807,0.2237953,0.16993412,0.16468479,0.14749937,0.13789304,0.19958784,0.24869946,0.15989538,0.2185628,0.18082279,0.20172141,0.19118808,0.18137807,0.20198688,0.15628895,0.18446721,0.2521654,0.25559628,0.236657,0.19190925,0.21104173,0.17842087,0.1662,0.1479386,0.14281982,0.18260884,0.22840936,0.14869949,0.21469373,0.19839737,0.22312874,0.18028557,0.18012391,0.21588784,0.17206965,0.19896778,0.28193027,0.26109323,0.22742066,0.21642205,0.22018442,0.17732887,0.17011894,0.15171473,0.15068318,0.19903965,0.23328814,0.12876336,0.25341395,0.21989772,0.24197955,0.16605577,0.20385738,0.2447968,0.15809773,0.21690689,0.25667349,0.26907694,0.26092732,0.2145797,0.2235459,0.2066981,0.17524295,0.14203964,0.14036553,0.1941975,0.21447204,0.14320648,0.250342,0.1925485,0.24415609,0.18046652,0.19081111,0.21622853,0.1573246,0.22020273,0.27059594,0.27835804,0.26241452,0.22825254,0.21660076,0.19842449,0.1682179,0.16141506,0.13893408,0.20269163,0.22568382,0.1381976,0.24432756,0.21587944,0.25760835,0.18048994,0.19799039,0.241905,0.18447489,0.22415729,0.28763005,0.2750629,0.260069,0.22760747,0.21813564,0.20610015,0.17527525,0.16939726,0.14081396,0.19002396,0.23227891,0.15933295,0.21802473,0.22874805,0.28016162,0.18583155,0.20400497,0.25174057,0.15672295,0.23666136,0.27366006,0.27160406,0.24561585,0.23692086,0.21082383,0.21711758,0.18304941,0.15605891,0.13493,0.19036393,0.22099164,0.14243105,0.2405066,0.20432882,0.24293235,0.17470114,0.19771555,0.24905923,0.1450637,0.26403585,0.2760133,0.26071152,0.26012123,0.23425214,0.20342284,0.22219914,0.1971474,0.16963452,0.13625474,0.20357294,0.21268155,0.13573349,0.24229129,0.21438617,0.27350086,0.17511411,0.20506498,0.24691057,0.16509408,0.23864596,0.26864338,0.27200767,0.27869383,0.23359276,0.20472908,0.22907872,0.19563332,0.16546957,0.12827794,0.21267444,0.23173645
