,smiles,sequence,interactions
0,6018,18,0
1,5110,77,1
2,1695,306,0
3,475,1658,0
4,5651,202,0
5,3747,360,0
6,6782,438,1
7,14520,491,0
8,4776,376,0
9,8720,169,1
10,4622,404,1
11,1271,37,0
12,11693,77,0
13,5594,196,0
14,9781,1766,1
15,3878,446,0
16,9691,109,1
17,3497,155,0
18,8537,47,1
19,5526,1135,0
20,14403,202,0
21,2603,32,0
22,2429,2281,0
23,12507,431,1
24,7374,160,0
25,12687,49,1
26,1642,49,0
27,14159,271,1
28,303,42,0
29,267,724,0
30,863,889,0
31,305,242,0
32,3970,170,1
33,9126,104,1
34,481,1002,1
35,2105,155,1
36,2864,149,0
37,8745,168,1
38,13992,216,0
39,2623,35,1
40,11315,164,1
41,11431,77,0
42,5639,107,1
43,6516,86,0
44,9001,248,1
45,6785,94,0
46,965,155,1
47,12223,412,0
48,1754,409,1
49,4065,3,0
50,1595,55,1
51,268,1656,0
52,6929,836,0
53,1135,473,1
54,5565,24,0
55,5693,414,0
56,116,157,0
57,10259,84,1
58,6644,414,1
59,6948,32,0
60,3002,43,1
61,2835,18,0
62,2462,634,0
63,3564,77,0
64,7661,7,1
65,7450,206,0
66,8620,42,0
67,288,547,0
68,7001,386,0
69,11946,89,0
70,9626,176,1
71,3085,1256,0
72,2085,35,1
73,4837,148,1
74,152,344,0
75,6798,257,1
76,12598,37,0
77,4415,67,1
78,5173,77,0
79,5475,40,1
80,1666,657,1
81,234,48,0
82,9444,402,1
83,6787,128,0
84,993,33,0
85,11189,52,0
86,4347,256,0
87,9822,583,0
88,14122,686,1
89,10572,18,0
90,8281,37,0
91,5617,40,1
92,2352,52,0
93,5944,582,0
94,11230,40,1
95,3465,1127,1
96,7282,153,1
97,1255,112,1
98,12085,39,1
99,4515,1,0
100,5441,230,1
101,3499,179,1
102,1527,2142,0
103,1050,38,1
104,4282,67,1
105,2300,95,1
106,7407,43,0
107,9953,77,0
108,4732,875,0
109,579,3,1
110,8986,1,0
111,4952,216,0
112,1809,100,1
113,162,698,0
114,13894,19,0
115,1656,807,1
116,561,936,0
117,10295,310,1
118,6750,56,0
119,960,1321,1
120,10013,518,0
121,6994,37,0
122,1490,48,0
123,10300,0,0
124,9281,238,0
125,2438,131,0
126,2945,11,0
