smiles,sequence,interactions
0,0,0
1,1,0
2,2,1
3,3,0
4,4,0
5,5,0
6,6,1
7,7,1
8,8,0
9,9,0
10,10,0
11,11,1
12,12,1
13,13,1
14,14,0
15,15,1
16,16,1
17,17,1
18,18,1
19,19,0
20,20,0
21,21,1
22,22,0
23,23,1
24,24,0
25,25,0
26,26,0
27,27,0
28,28,1
29,29,1
30,30,0
31,31,1
32,32,0
33,33,1
34,34,1
35,35,0
36,36,0
37,37,0
38,38,1
39,39,1
40,40,0
41,11,1
42,41,1
43,42,0
44,43,1
45,44,1
46,45,1
47,46,1
48,47,0
49,48,1
50,49,1
51,50,1
52,51,0
53,52,0
54,53,1
55,54,0
56,55,1
57,56,0
58,57,0
59,58,0
60,59,1
61,60,0
62,61,0
56,62,1
63,63,0
64,64,0
65,65,1
66,66,0
67,28,0
68,67,0
69,11,1
70,68,0
71,69,1
72,70,0
73,71,1
74,72,0
75,73,0
76,74,0
77,75,0
78,76,0
79,77,1
80,78,1
81,79,0
82,80,0
83,81,0
84,82,0
85,83,0
86,84,1
87,85,0
88,86,1
89,87,0
90,88,0
91,89,1
92,90,0
93,91,1
94,92,0
95,21,1
96,93,1
97,94,0
98,95,0
99,96,0
100,55,1
101,97,0
102,98,1
103,99,1
104,100,1
105,101,0
106,102,1
107,103,1
108,104,0
109,105,0
110,48,1
111,106,0
112,107,0
113,108,0
114,109,0
96,110,1
115,111,1
116,112,0
117,113,0
118,114,0
119,115,0
120,116,0
121,117,0
122,118,0
123,119,1
124,48,1
125,120,0
126,121,0
127,122,0
128,123,1
129,124,1
130,125,0
131,126,0
132,127,1
133,128,0
134,129,1
135,130,1
136,131,0
137,132,1
138,133,1
139,134,1
140,135,0
141,136,1
142,137,1
143,138,0
144,139,0
145,140,0
146,141,1
147,142,1
148,143,0
149,144,0
150,145,1
151,146,0
140,147,1
152,148,0
153,149,0
66,71,1
154,150,0
155,151,1
156,152,0
157,153,0
158,154,1
159,155,1
160,156,0
161,157,1
132,114,1
162,43,1
163,158,0
164,159,0
165,160,1
166,43,1
167,161,0
168,154,0
169,162,0
170,163,0
171,164,0
172,123,1
173,165,1
174,166,0
175,167,0
176,168,1
177,169,1
178,170,1
179,171,0
180,172,0
181,173,1
182,174,1
183,175,0
184,176,1
185,177,0
186,178,0
187,179,1
188,168,0
189,180,1
190,123,1
91,181,1
191,182,1
192,183,0
129,184,1
193,185,0
194,173,1
195,186,0
196,187,1
197,188,1
198,189,0
199,190,0
200,191,0
201,192,0
202,193,0
203,194,0
204,195,0
205,196,0
206,196,0
207,197,1
208,198,1
209,129,1
210,199,0
211,200,0
212,201,0
213,141,1
214,114,1
215,202,1
216,203,0
217,204,0
218,205,0
219,55,1
220,206,0
221,207,1
222,208,0
223,209,0
224,123,1
225,210,1
226,141,1
227,211,1
228,212,1
229,110,0
230,213,1
231,214,0
232,208,0
233,215,0
234,216,0
235,217,0
236,218,0
237,123,1
238,219,0
239,202,1
240,220,1
241,221,0
242,222,0
243,223,0
244,224,0
245,225,1
246,165,1
247,48,1
42,226,1
248,227,0
249,180,1
250,228,1
251,229,1
252,230,0
253,30,0
254,231,1
255,232,0
256,233,1
257,234,1
258,168,1
259,233,1
260,235,1
261,236,0
262,237,0
263,238,0
264,239,1
265,240,1
266,241,0
267,55,1
268,242,0
269,243,1
270,244,1
13,245,1
271,246,0
272,247,1
273,123,1
274,248,1
275,134,1
276,249,1
277,250,0
278,251,0
279,252,0
280,157,1
281,55,1
282,253,0
283,254,0
284,255,1
285,256,0
286,257,1
287,120,1
288,258,1
289,259,1
290,55,1
40,260,1
291,261,1
292,262,0
293,263,0
294,166,0
295,264,1
296,123,1
243,265,0
297,53,1
298,266,0
299,11,1
300,267,1
301,261,1
287,268,1
302,269,1
303,270,0
304,197,1
305,62,1
306,271,0
21,272,1
307,273,0
308,274,0
309,275,0
310,276,1
311,277,1
312,278,1
313,279,0
314,280,1
315,281,0
316,282,1
317,263,1
318,283,0
319,159,0
320,284,1
321,285,1
322,286,1
323,130,1
324,287,0
325,288,1
98,289,0
326,233,1
327,290,0
220,130,1
328,291,0
329,292,1
330,57,1
331,293,1
332,205,1
333,294,1
334,123,1
335,295,0
336,296,1
337,297,0
338,50,1
339,298,0
340,299,0
341,300,0
215,130,1
342,206,0
113,301,0
343,302,0
344,303,1
345,304,0
346,133,1
347,305,0
348,48,1
349,306,1
350,307,0
139,308,1
351,309,0
352,310,0
353,244,0
354,55,1
355,164,0
356,311,0
357,312,0
358,313,1
359,55,1
360,314,1
361,315,1
362,316,1
363,62,1
364,317,0
365,318,1
366,319,0
367,320,0
368,321,0
369,322,1
370,323,1
371,324,1
363,325,1
273,326,1
372,327,0
159,328,1
373,329,1
374,21,1
375,330,0
376,331,0
377,332,1
378,2,1
379,333,1
380,120,1
381,46,1
322,334,0
382,335,0
383,336,1
384,337,1
385,338,1
386,339,0
387,340,0
80,48,1
388,341,0
389,342,0
390,343,0
391,344,0
392,345,0
393,346,0
394,133,0
19,53,1
395,347,0
396,348,0
228,349,1
397,350,1
398,351,0
399,352,0
362,353,0
400,354,0
401,313,1
254,355,1
402,228,0
403,356,0
404,39,1
405,357,1
406,10,0
407,358,0
408,359,0
409,360,0
410,361,0
411,154,1
287,362,1
412,363,0
413,364,0
414,365,0
415,129,1
416,123,1
417,24,1
418,366,1
419,55,1
203,293,1
220,367,0
420,368,0
421,7,1
422,369,1
423,370,0
424,371,0
425,372,1
426,373,0
427,374,1
428,375,0
429,154,1
430,376,0
431,315,1
432,377,0
433,378,0
434,129,1
435,233,1
436,379,1
437,273,0
438,380,0
439,43,1
440,381,1
441,382,0
442,383,1
339,384,0
238,385,0
443,386,0
444,155,1
445,387,0
246,388,1
446,248,1
104,389,0
447,390,1
161,145,1
448,391,0
449,392,0
450,293,1
451,393,1
433,394,0
452,395,0
453,396,0
454,259,1
455,397,0
456,398,0
457,399,0
458,168,1
459,400,1
460,401,0
177,197,1
461,402,1
462,403,0
463,77,1
464,404,0
465,151,1
466,405,0
467,53,1
468,406,0
379,407,0
469,408,0
470,409,0
13,410,1
471,411,0
472,114,1
473,114,1
474,412,1
475,413,1
476,414,0
259,43,1
477,48,1
478,415,0
479,416,0
480,417,1
481,220,0
482,418,1
129,419,1
483,420,0
484,421,1
485,257,1
486,422,1
487,423,1
488,424,1
489,425,1
490,43,1
491,426,0
492,427,1
493,428,0
287,219,1
494,224,0
495,429,0
348,114,1
32,430,0
496,431,0
497,432,0
498,169,1
499,55,1
463,11,1
500,433,0
501,434,1
502,435,0
503,43,1
504,350,1
505,65,0
506,436,0
507,437,1
410,438,0
508,299,0
509,439,1
190,168,1
299,440,1
510,441,1
511,308,1
512,442,1
513,233,1
3,137,0
514,443,0
515,127,1
516,444,0
227,445,1
517,415,0
518,446,0
519,447,0
520,55,1
521,448,0
522,349,0
523,449,1
524,450,0
340,7,1
525,388,0
526,451,0
445,452,0
527,158,0
289,453,1
528,454,1
529,290,1
384,455,1
530,375,0
424,456,0
370,457,0
531,458,0
532,459,0
132,460,1
165,147,1
533,459,0
534,461,1
406,126,0
535,288,1
105,462,1
536,463,0
537,464,0
538,465,1
539,466,0
540,467,0
541,468,1
542,469,0
543,168,1
544,196,1
13,470,0
545,471,0
546,472,0
547,473,0
548,474,1
7,475,0
549,476,0
550,402,1
551,477,1
552,103,0
553,478,1
554,479,0
555,480,0
118,233,1
354,77,1
556,67,0
557,59,1
558,481,1
559,402,1
560,482,0
429,483,0
561,484,0
91,379,1
562,11,1
563,485,0
564,486,1
565,487,1
566,488,0
567,489,0
568,490,0
569,491,0
107,271,0
358,169,1
570,492,1
