index,smiles
0,O=C1NC2=CC=CC=C2\C1=C\NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1
1,N1C=CC(=N1)C1=CN=C(S1)C1=CC=CC=C1
2,CC(C)[C@@H](NC(=O)CN1C(=O)C(N)=CN=C1C1=CC=CC=C1)[C@@H](O)C1=NN=C(O1)C(C)(C)C
3,CC1=NC(C)=C(S1)C1=CC=NC(N\C=N/O)=N1
4,[H][C@](CC([O-])=O)(C(O)=O)C1=CC(=C([O-])C(=C1)C1=NC2=C(N1)C=C(C=C2)C(N)=N)C1=CC=CC=C1OC
5,OCC(=O)N1CCC(CC1)C1=NNC(=C1C1=NC=NC=C1)C1=CC=C(Cl)C=C1
6,[H][C@@]1(CCCC[C@@]1([H])NC(=O)C1=NC2=C(CN(C)CC2)S1)NC(=O)C1=CC2=C(N1)C=CC(Cl)=C2
7,CCOC(=O)C1=C2CN(C)C(=O)C3=C(C=CC(F)=C3)N2C=N1
8,[H][C@](N)(C[C@@]1([H])CO1)C(O)=O
9,OC1=CC2=C(OC(=N2)C2=CC=C(O)C(F)=C2)C(C=C)=C1
10,NC1=NC2=C(N=CN2CCCCC(F)(F)P(O)(O)=O)C(=O)N1
11,CN1CCN(CCCCN2C(=O)CN(N=CC3=CC=C(O3)C3=CC=C(Cl)C=C3)C2=O)CC1
12,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
13,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
14,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1
15,CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC
16,O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O
17,[H][C@]1(C)CNC(=O)C2=C1C1=CC(=CC=C1N2)C(=O)NC1=NC(=CS1)C(=O)NCCN(C)C
18,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
19,NC(=[NH2+])C1=CC2=C(S1)C=CC=C2
20,O[C@@H](COP(O)(O)=O)[C@@H](O)C(O)=O
21,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1
22,CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1
23,[H][C@@]1(O)O[C@@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])OS(O)(=O)=O
24,CN1N=C(C)C2=C1N(O)C1=C(C=C(Cl)C=C1)C2=O
25,OC1=CC(O)=C(Cl)C=C1C1=C(C=NN1)N1CCNCC1
26,NC1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@H]2O[C@@H](O[C@@H]12)P(O)(O)=O
27,[H][C@]1(O)CN(CC2=CC=CS2)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
28,[H][C@]1(COP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(C3=CC(=CN=C3)C(O)=N)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
29,NC(=N)C1=CC=C(N\N=N\C2=CC=C(C=C2)C(N)=N)C=C1
30,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1
31,CC1=C(CCNC(=O)C2=CC=CS2)C2=CC=CC=C2N1
32,C[C@@H]1CC[C@H]([C@@H](O)C(F)(F)F)N1C1=CC2=C(NC(=O)C=C2C(F)(F)F)C=C1
33,NS(=O)(=O)C1=CC(=C(Cl)C(Cl)=C1)S(N)(=O)=O
34,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O
35,[H]\C(C([O-])=O)=C(/C([O-])=O)[C@@]([H])(O)C([O-])=O
36,OC(=O)C(=O)C(O)=O
37,[H][C@@]12CC=C[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@]([H])(O)CC[C@]12C
38,CCN(CC)CCOC(=O)C1=C(Cl)C=C(N)C=C1
39,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC
40,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2
41,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
42,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1
43,O[C@@H]([C@H](CC(O)=O)C(O)=O)C(O)=O
44,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
45,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O
46,[H][C@](O)(CCC(O)=O)NC1=CC=C(C=C1)N1C(=O)CCC1=O
47,ClC1=CC=C(C=C1)C1(CCNCC1)C1=CC=C(C=C1)C1=C2N=CNC2=NC=N1
48,[H][C@@]1(O)C[C@@]([H])(O[C@]2([H])O[C@@]([H])(C)[C@@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(OCCCCCCCC)O[C@]1([H])CO
49,OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1
50,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
51,CN(C(=O)C(C)(C)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)C1=CN=C(C=C1C1=CC=CC=C1C)N1CCN(C)CC1
52,CC1=CC=C(CNS(=O)(=O)C2=CC=C(S2)S(N)(=O)=O)C=C1
53,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC
54,NCCCC1=CC=CC=C1
55,OCC[C@@H](O)[C@H](O)[C@H](O)\C=C\P(O)(O)=O
56,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1
57,[H][C@@]1(CS(=O)(=O)C2=CC=C(OC)C=C2)CCCC[C@@]1([H])C(=O)NCCN
58,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C
59,N[C@@H](CSO)C(O)=O
