smiles,sequence,interactions
0,0,0
1,1,0
2,2,0
3,3,1
4,4,1
5,5,0
6,6,1
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,1
13,13,1
14,14,0
15,15,0
16,16,1
17,17,0
18,18,1
19,19,1
20,20,0
21,19,1
22,21,0
21,22,1
23,19,1
24,23,0
25,24,1
26,25,1
27,19,1
28,18,1
29,26,0
30,27,0
31,19,1
21,28,1
32,29,0
21,3,1
21,30,1
33,31,1
34,32,0
35,33,1
36,34,1
37,35,0
38,36,0
39,15,0
32,37,0
40,38,0
41,39,1
42,19,1
43,40,0
2,41,0
44,18,1
21,42,1
45,43,1
46,44,0
47,45,0
48,46,0
49,47,0
4,48,1
50,49,0
51,50,0
52,21,0
53,51,0
4,52,1
54,53,0
55,54,1
56,55,0
57,18,1
21,19,1
58,27,1
59,56,1
60,57,1
61,58,0
62,19,1
63,59,0
4,60,1
4,61,1
64,62,1
4,63,1
65,64,0
66,65,0
67,18,1
68,66,0
69,67,0
70,29,0
71,68,1
4,69,1
72,70,0
73,71,1
74,72,0
75,73,0
4,74,1
76,75,0
77,76,0
15,77,0
78,78,1
71,79,1
79,80,0
80,81,0
81,82,0
82,18,1
83,83,0
84,84,0
21,82,1
85,85,1
39,86,0
86,87,0
87,88,0
88,89,0
50,90,0
89,91,0
64,92,1
64,93,1
90,94,0
64,95,1
91,62,0
92,96,0
93,97,0
77,98,0
64,99,1
5,100,0
94,85,1
24,101,0
95,102,0
96,19,1
97,103,0
98,104,1
99,18,1
4,105,1
100,106,0
101,107,0
102,19,1
103,108,0
104,109,0
24,110,0
105,18,1
106,111,0
107,18,1
21,112,1
108,72,1
109,113,0
110,19,1
111,114,1
112,115,0
113,116,0
114,19,1
115,19,1
114,19,1
116,117,1
40,118,0
117,19,1
118,19,1
119,119,1
120,117,1
60,18,1
100,24,0
121,120,0
122,121,0
123,122,0
64,117,1
4,123,1
108,112,1
2,124,0
16,125,1
124,126,1
125,127,0
126,71,1
49,128,0
101,18,0
127,129,0
128,10,0
129,130,0
100,131,0
108,132,1
21,104,1
130,133,0
131,134,1
4,135,1
132,136,1
27,19,1
133,137,0
134,138,1
135,139,0
136,140,0
137,141,0
138,142,1
139,18,1
140,143,0
112,144,0
141,145,0
4,146,1
142,147,0
143,148,0
144,19,1
145,149,1
121,150,0
146,103,0
147,151,1
64,104,1
148,152,1
149,153,1
150,18,1
151,18,1
152,154,1
153,155,0
154,156,0
155,157,0
156,158,0
157,159,1
158,14,0
70,160,0
159,161,0
160,162,0
161,163,0
162,164,0
148,165,1
131,134,1
163,166,0
164,167,1
112,168,0
92,169,0
165,43,1
166,170,0
167,171,0
168,172,1
40,173,0
4,174,1
169,18,1
170,175,1
171,176,0
4,177,1
172,178,0
173,18,1
64,179,1
174,18,1
175,180,0
176,181,1
64,182,1
177,183,0
178,184,0
64,185,1
179,186,1
180,187,0
181,15,0
60,18,1
182,188,0
183,88,0
184,189,1
185,190,0
186,186,0
84,191,0
64,34,1
187,192,0
49,193,0
188,194,0
170,175,1
21,195,1
189,196,1
190,197,0
191,198,1
192,199,1
193,171,0
64,200,1
133,201,0
194,202,0
195,18,1
196,19,1
108,19,1
197,203,0
198,204,0
20,39,0
199,205,0
200,206,0
21,207,1
201,208,1
202,3,1
203,18,1
204,209,0
205,114,1
206,112,1
121,210,0
207,211,0
208,212,0
209,213,1
210,214,0
211,215,0
212,216,1
4,19,1
213,217,0
24,218,0
214,219,0
215,220,0
216,143,0
4,221,1
217,19,1
218,37,0
21,222,1
219,19,1
77,223,0
220,224,0
221,18,1
222,225,0
223,226,0
224,42,1
225,205,0
226,134,1
2,227,0
227,228,0
228,229,0
229,230,0
4,231,1
4,232,1
230,153,1
108,113,1
231,117,1
232,233,0
4,234,1
64,235,1
233,57,1
234,18,1
235,18,1
40,236,0
20,237,0
236,238,1
124,165,1
237,117,1
238,239,0
48,240,0
239,241,1
240,153,0
241,242,0
4,112,1
13,243,1
242,244,1
93,245,0
13,19,1
243,34,0
22,157,0
244,246,0
245,247,0
108,248,1
246,19,1
21,249,1
177,115,0
247,250,0
64,251,1
188,252,0
4,253,1
4,248,1
248,254,0
249,146,0
250,255,0
251,229,0
252,151,1
118,256,1
21,257,1
253,112,1
81,258,0
41,259,0
254,260,0
255,261,0
256,119,1
21,262,1
257,263,1
258,264,0
259,265,0
260,117,1
101,266,0
40,267,0
261,268,0
262,150,0
263,269,0
64,25,1
18,18,1
64,270,1
264,271,0
265,272,0
171,273,0
266,274,0
138,275,0
267,57,1
268,210,0
269,276,0
270,277,0
271,278,0
272,279,1
273,280,1
274,281,0
64,282,1
108,283,1
275,18,1
77,284,0
276,18,1
277,19,1
100,285,0
278,18,1
279,286,1
280,10,0
124,19,1
193,287,0
281,288,0
64,289,1
282,290,0
143,291,0
283,18,1
64,292,1
10,293,0
284,121,0
24,294,0
64,295,1
24,296,0
77,297,0
285,298,0
21,299,1
214,297,0
286,300,0
287,19,1
288,18,1
214,301,0
181,8,0
289,302,0
148,303,1
191,304,1
290,305,0
21,306,1
291,19,1
288,18,1
21,307,1
292,94,1
293,308,0
21,309,1
294,310,0
171,133,0
4,198,1
295,205,0
296,311,1
4,312,1
135,54,0
297,313,0
82,134,1
298,314,0
299,315,0
75,316,0
300,317,0
301,318,1
302,18,1
303,18,1
4,319,1
304,320,0
108,248,1
36,321,1
287,19,1
305,32,0
306,19,1
180,220,0
307,322,0
77,193,0
21,27,1
308,323,0
309,8,0
200,288,0
4,238,1
310,324,0
311,325,0
312,326,1
21,327,1
182,328,0
124,22,1
313,329,1
189,288,1
100,330,0
314,3,1
64,331,1
57,134,1
315,205,0
316,332,1
4,333,1
297,334,0
3,326,1
317,18,1
318,335,0
27,19,1
95,336,0
135,337,0
64,338,1
4,19,1
300,339,0
319,340,0
76,341,0
320,18,1
75,342,0
182,343,0
21,286,1
321,344,0
4,345,1
322,346,0
323,347,0
324,348,1
325,349,0
4,165,1
174,18,1
326,134,1
13,350,1
327,351,0
257,27,1
328,352,1
21,353,1
175,354,0
64,355,1
329,356,0
184,42,1
24,357,0
83,358,0
330,359,0
171,360,0
4,19,1
170,361,1
21,167,1
19,19,1
331,248,1
332,362,1
21,363,1
333,51,0
100,76,0
21,364,1
4,82,1
334,346,1
13,365,1
335,366,0
336,42,0
337,367,1
338,368,0
339,326,1
340,43,1
341,369,0
21,370,1
101,14,0
170,371,1
21,19,1
171,372,0
342,373,0
343,374,1
46,343,0
344,375,0
92,376,0
36,377,1
345,71,0
4,22,1
91,378,0
18,18,1
118,19,1
346,19,1
170,379,1
2,264,0
145,380,1
347,381,0
348,382,0
349,383,0
306,365,1
350,3,1
351,384,0
8,385,0
124,386,1
104,387,0
352,388,0
353,389,1
354,390,0
355,384,0
64,391,1
356,392,1
357,214,1
358,134,0
359,166,0
2,393,0
360,298,0
361,326,1
362,263,1
363,394,1
364,395,0
365,396,0
27,19,1
366,204,0
188,397,0
367,398,1
249,399,0
4,114,1
368,400,0
197,401,0
257,402,1
369,18,1
370,134,1
4,403,1
371,404,1
14,405,1
372,406,1
143,407,0
373,185,1
374,134,1
4,248,1
171,408,0
147,151,1
375,409,1
376,205,0
8,410,0
376,8,0
377,411,1
378,85,1
379,117,1
380,114,1
381,167,0
382,19,1
383,412,0
384,158,0
385,190,1
4,255,1
64,413,1
64,414,1
4,415,1
268,416,0
215,417,0
21,403,1
330,418,0
30,218,0
78,19,1
58,419,1
50,240,0
36,420,1
64,123,1
386,421,0
387,140,0
64,422,1
261,423,0
21,424,1
124,425,1
388,18,1
389,18,1
64,426,1
390,24,1
391,427,0
146,428,0
