index,smiles
0,CC(=O)[O-].CC(=O)[O-].[Cu+2]
1,C(CC(=O)N)C(=O)N
2,C1=CN(C2=C1C(=NC=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
3,C([C@@H](C(=O)O)N)S(=O)(=O)O
4,[Mg+2]
5,C(C#N)C(C(=O)O)N
6,CC(C)C[C@@H](CC(=O)O)CN
7,C1=CC2=C(C=C1F)C(=CN2)CC(C(=O)O)N
8,CC(=O)[O-].CC(=O)[O-].[Pb+2]
9,C(C(C(=O)O)S)(C(=O)O)S
10,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N
11,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O
12,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
13,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O
14,CN(C)CC(=O)O
15,CCC(=O)O
16,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C
17,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC
18,C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C
19,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C
20,CCC(=O)C
21,C(C(CO)O)O
22,CCNC(=O)C1C(C(C(O1)N2C=NC3=C2N=CN=C3NCC4=CC=CC=C4)O)O
23,CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCOCC4)OC
24,C1CC(OC1)N2C=NC3=C2N=CN=C3N
25,CS(=O)(=O)C1=CC=CC(=C1)C2=CC(=NC=N2)N3C[C@@H]([C@H](C3)N)C4=CC(=C(C=C4F)F)F
26,CC(=O)N[C@@H](CCSC)C(=O)O
27,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F
28,CCN(CC)C(=O)N[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
29,CC1(C(=O)N(C(=O)O1)C)C
30,C(C(C(=O)O)O)C(=O)O
31,CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C
32,C(CO)[C@@H](C(=O)O)N
33,C[C@@H]([C@H](C(=O)O)N)C(=O)O
34,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)F
35,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br
36,[Fe]
37,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.N.[Fe+3]
38,C1=CC=C(C=C1)C=O
39,CC(CC(=O)O)O
40,CC(=O)[O-].CC(=O)[O-].[Ni+2]
41,C1=C2C(=CC(=C1Cl)Cl)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O
42,C1CN(CCN1)C2=CC3=C(CNC(=O)N3C4=C(C=CC=C4Cl)Cl)C(=C2)C5=C(C=C(C=C5)F)F
43,C(C(C(CO)O)O)O
44,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
45,C[C@@H](/C=C/C=C/C(C)C)C1=NC(=CS1)C2=NC(=CS2)/C=C/[C@@H]([C@@H](C)/C(=C\C(=O)N)/OC)OC
46,CC(=O)O.C[Hg]
47,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O
48,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N
49,C(C(C(=O)O)O)O
50,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O
51,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CCC(=O)O)O
52,CC(CC1=CC=C(C=C1)O)NC
53,C(C(=O)[O-])(C(=O)[O-])O
54,C(C(=O)[O-])F
55,C1=NC2=C(N1)C(=NC=N2)N
56,C(=O)(C(=O)[O-])[O-].[NH4+].[NH4+]
57,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
58,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
59,CC1=C(SC(=N1)NC(=O)C)C2=CC(=C(C=C2)Cl)S(=O)(=O)NCCO
60,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
61,CN1C(CC(C1=O)O)C2=CN=CC=C2
62,C1COCCN1C2=CC(=CC(=C2)C(=O)NC3=CC4=C(C=C3)NC=C4)F
63,C1C(=O)NCC(=O)N1
64,[Zn]
65,CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl
66,C1=C(NC(=O)N=C1)N
67,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C
68,C1CN[C@@H]1C(=O)O
69,C(C(=O)[O-])Br
70,CC(CCCN)(C(=O)O)N
71,CCCCCCCC(=O)O
72,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O
73,C1=CC(=CC=C1[C@H](CO)O)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl
74,C1=C(NC=N1)CC(CO)N
75,C1CC(OC1)N2C=C(C(=O)NC2=O)F
76,C1=CC(=CC=C1C(=O)O)F
77,C(CN)CO
78,CCCN1C(=NC(=C1C2=NC(=NC=C2)NC3CCCCC3)C4=CC(=C(C=C4)Cl)Cl)C5CCNCC5
79,C1=CC=C(C=C1)CC(=O)N
80,C1=CC(=CC(=C1)C#N)C#N
81,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O
82,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
83,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C
84,CCC(C)N1C(=O)C(=C(NC1=O)C)Br
85,C1=CC(=C(C(=C1)F)C2=CC=C(C=C2)C(=O)O)F
86,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(CP(=O)(O)O)O)O)O
87,CCCCCC(=O)O
88,C(C(C(C(=O)CO)O)O)O
89,C1=C(C=C(C(=C1O)O)O)C(=O)O
90,C(CC(=O)N)C(=O)C(=O)O
91,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O
92,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CSCCC(C(=O)O)N)O)O
93,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)Br)CO)O
94,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC=C2C(F)(F)F
95,C(CN)C(C(=O)O)N
96,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C3=NN=C(O3)NCCN
97,COC(=O)C1=CC(=C(C(=C1)O)O)O
98,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@@H]3C[C@H]2C(=O)O
99,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
100,CC(C)C(C(C)(C)CO)O
101,CSCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O
102,C1=CC2=C(C=CC=C2S(=O)(=O)N)C(=C1)O
103,CC1[C@@H](C(C([C@H](O1)O[C@H]2C[C@H]([C@@]3(C4C(CC[C@@]3(C2)O)[C@]5(CCC([C@]5(CC4O)C)C6CC(=O)OC6)O)CO)O)O)O)O
104,CC(CC=O)O
105,CC(=O)C1=CC(=C(C=C1)OCCCN2CCC(CC2)C3=NOC4=C3C=CC(=C4)F)OC
106,CC(C)OP(=O)(OC(C)C)F
107,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
108,C(CS)O
109,C1C(CNC2=C1C(=O)N=C(N2)N)CCC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
110,C1=CC=C2C(=C1)C(=NN2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)N
111,COC1=C2C(=CNC2=NC=C1)C3=NC(=NC=C3)N
112,C1CCC(C1)(C(=O)O)N
113,CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O
114,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
115,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O
116,CC1=C(C=C2C(=C1)C(CCC2(C)C)(C)C)C3(CC3)C4=NC=C(C=C4)C(=O)O
117,CC1=CC(=NN1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
118,COC1=CC\2=C(C=C1)NC(=O)/C2=C\C3=CN=CN3
119,CC1=C(C(=O)NO1)C[C@@H](C(=O)O)N
120,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
121,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O
122,CCCC(C(=O)O)N
123,CC(C)C=O
124,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
125,C1=CC(=CC=C1CO)O
126,C1=CC=C2C(=C1)C(=O)/C(=C/3\C4=C(C=CC(=C4)S(=O)(=O)O)NC3=O)/N2
127,CC1=CNC2=CC=CC=C12
128,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32
129,C1=CN=C2C(=N1)C=NC=N2
130,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+]
131,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
132,C[C@H]1CNCCCN1S(=O)(=O)C2=CC=CC3=CN=CC(=C32)C
133,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O
134,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
135,CC1CC2C3CCC4=CC(=O)C=CC4(C3C(=O)CC2([C@]1(C(=O)CO)O)C)C
136,C(C(=O)C(=O)O)O
137,CS(=O)(=O)OCCCCOS(=O)(=O)C
138,C1=CC(=CC(=C1)N)C(=O)O
139,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42
140,CC(C)C(C(=O)O)N
141,CC(C)C(C(=O)O)NC
142,NS(=O)(=O)O
143,CC(C(C)O)O
144,C1CNCCC1(C2=CC=C(C=C2)C3=CNN=C3)C4=CC=C(C=C4)Cl
145,C(CC(=O)O)C(=O)C(=O)O
146,COC1C(C(C(C(O1)CO)O)O)O
147,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2
148,C([C@@H](C(=O)O)N)OP(=O)(O)O
149,C1COCCN1CCCS(=O)(=O)O
150,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
151,CCOC1=CC=CC=C1OCCN[C@H](C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N
152,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)O)O
153,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N
154,C1CC2CCC3C4CCC(CC4CCC3C2C1)O
155,C1C(C(OC1N2C=C(C(=O)NC2=O)Br)COP(=O)(O)O)O
156,CN(C)N
157,CC1=NC2=CC=CC=C2C(=C1)COC3=CC=C(C=C3)C[C@@]4(C[C@@H]4C(=O)NO)C(=O)OC
158,CC(C(=O)O)C(=O)O
159,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
160,C1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O
161,CC(C(=O)O)N
162,CC(C)C(CC(=O)O)(C(=O)O)O
163,C(C(C(=O)O)O)(C(=O)O)N
164,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
165,CSCC[C@@H](C(=O)O)NC=O
166,CCC(C)C
167,C(CCN)CC(=O)O
168,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
169,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
170,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5N=CN=C6N)O)O)O)O)O
171,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N
172,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
173,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
174,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
175,C(CC(C(=O)O)N)CN
176,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC
177,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C
178,C(CO)NN
179,C1C[C@H](NC1)C(=O)O
180,CC(CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O
181,C(C(=O)O)C(=O)O
182,CCC(C(=O)O)O
183,CCCCCCCCCCCCCCCCO
184,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O
185,C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O
186,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C
187,CC(C)CC(C(=O)O)N
188,CCCC(=O)NC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@H]4[C@H](O3)COP(=O)(O4)O)OC(=O)CCC
189,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O
190,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O
191,CCCCCCCCCC[N+](C)(C)[O-]
192,C#CCN(CC1=CC2=C(C=C1)NC(=NC2=O)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
193,C(CC(C(=O)O)N)CC(=O)O
194,C1=C(C=C(C(=C1I)O)I)[N+](=O)[O-]
195,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
196,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O
197,C(CO)O
198,COCCCCCCCCCCCC(=O)O
199,CC(=O)NC
200,C1C(C(C(C1N2C=NC3=C2N=CN=C3N)O)O)CO
201,C1=CC=C(C=C1)CN2C=CN=C2
202,CN1C(=CC(=N1)C2=CC=CC=C2)NS(=O)(=O)O
203,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC
204,C(C(C(=O)C(=O)O)C(=O)O)C(=O)O
205,CC1=C(SC(=N1)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)C(F)(F)F
206,CN(C)C=O
207,C(CC(=O)[O-])C(=O)[O-].[Na+].[Na+]
208,CCCCCCCC=O
209,C(CCN)C[C@@H](C(=O)O)N
210,C1=CC(=CC=C1CC(C(=O)O)N)O
211,C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)O)F
212,CN(C)C(=NCCC[C@@H](C(=O)O)N)N
213,C1C(=O)NC=N1
214,CC(C)NCCO
215,CC(CCO)O
216,C(C(C(=O)O)F)[NH3+].[Cl-]
217,C[C@@H](C1=CC=CC=C1)NC2=NC=CC(=N2)C3=C(N=C(N3C)C4CCNCC4)C5=CC(=CC=C5)C(F)(F)F
218,C(CC(C(=O)O)N)C=O
219,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
220,C1=CC2=C(C=CC3=C2C(=C1)C(=O)NC3=O)N
221,CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=C(C=C4)O)O
222,CC(C(=O)O)C(CC(=O)O)(C(=O)O)O
223,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
224,C(CSSC[C@@H](C(=O)O)N)O
225,C(=O)(C(=O)[O-])[O-].[Ce].[Ce]
226,CC(CC1=CC2=C(C=C1)OCO2)NC
227,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
228,CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C
229,C(CC(C(=O)O)N)CC(C(=O)O)N
230,CSCC[C@H](C(=O)O)N
231,CCCC1=C(C=CC2=C1ON=C2C(F)(F)F)OCCCOC3=CC4=C(C=C3)N(C=C4)CC(=O)O
232,CSCCC(C(=O)O)N
233,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
234,C1CN2CCC1C(C2)CN3C4=CC=CC=C4SC5=CC=CC=C53
235,CCC1=CC(=C(C=C1OC)CC(C)N)OC
236,C[C@@]1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4
237,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O
238,CC(=O)C
239,CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)[C@@H](C4=CC=CC=C4)O)SC2)C(=O)O
240,CCCCCCCCC(=O)O
241,CCC(C)OC(=O)C
242,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4
243,C1CC(=O)NC1C(=O)O
244,CC(C(=O)O)O
245,CC1=CC=CC=C1N
246,CC1=C(C=C(C=C1)C2=NN=C(O2)C)C3=CC=C(C=C3)C(=O)NC4=CC=CC(=C4)C#N
247,C(CCC(=O)O)CC(=O)O
248,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O
249,C(C=O)O
250,CC(C)C
251,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
252,CCOC(=O)C1=C(N(N=C1C)C2=CC(=CC=C2)[N+](=O)[O-])C
253,C1=CC=C2C(=C1)NC=N2
254,C(C(C(C(C(CO)O)O)O)O)C(=O)C(=O)O
255,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O
