smiles,sequence,interactions
0,0,0
1,1,0
2,2,1
3,3,0
4,4,0
5,5,0
6,6,1
7,7,0
8,8,0
9,9,0
2,10,1
10,11,1
11,12,0
12,10,1
13,13,0
14,14,0
15,15,1
16,16,1
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,1
26,26,1
27,27,0
28,28,1
29,26,1
30,29,0
31,30,0
32,31,0
33,32,0
34,33,0
35,34,1
36,35,0
25,36,1
37,37,0
38,38,1
2,39,1
39,39,1
40,40,0
41,41,1
42,42,1
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,50,0
51,51,1
52,52,1
5,53,0
53,54,1
54,55,0
55,15,1
56,15,1
57,56,0
58,15,1
59,57,1
42,58,1
28,59,1
60,60,0
61,61,0
62,62,0
19,63,0
63,10,1
64,64,1
42,65,1
65,66,0
66,15,1
67,67,1
68,68,1
69,42,1
70,69,1
71,70,0
72,71,0
73,15,1
74,72,0
75,15,1
76,73,0
77,16,1
78,74,0
79,42,1
80,75,1
81,76,1
81,77,1
82,78,0
83,15,1
84,79,0
85,80,0
81,81,1
86,10,1
35,26,1
87,42,1
88,82,0
89,29,0
90,83,0
91,84,0
92,85,0
93,42,1
94,86,0
95,87,0
96,88,1
42,42,1
97,16,1
98,89,0
99,90,0
100,38,1
101,91,0
102,92,1
103,93,0
104,94,1
105,95,0
106,42,1
76,96,0
93,97,1
107,42,1
108,98,1
109,42,1
110,39,1
2,99,1
111,100,0
35,101,1
112,102,0
113,103,0
114,104,1
115,105,0
116,106,0
2,107,1
117,108,0
118,42,1
119,54,1
120,109,0
121,110,0
122,111,0
35,112,1
123,26,1
124,113,1
125,15,1
126,114,0
127,115,0
128,116,0
129,67,1
130,117,1
131,42,1
132,118,0
133,119,0
134,120,0
135,121,1
136,122,0
81,123,1
35,124,1
2,125,1
137,42,1
138,15,1
16,126,1
139,127,0
140,128,1
141,129,1
142,130,0
143,15,1
144,131,0
145,132,1
146,133,0
147,134,0
148,135,0
35,136,1
149,137,0
150,138,0
151,139,0
152,140,0
153,141,0
154,142,0
155,143,0
156,56,0
157,144,0
158,145,0
159,42,1
160,146,0
161,147,0
162,42,1
25,148,1
163,26,1
164,98,1
165,15,1
166,11,0
167,15,1
168,149,0
169,58,1
170,150,0
171,151,1
81,152,1
172,153,1
62,154,0
107,42,1
173,155,1
174,113,0
114,156,1
175,69,1
176,42,1
177,157,0
178,42,1
179,15,1
180,158,1
181,159,0
182,160,1
2,161,1
183,15,1
184,162,0
172,163,1
185,164,0
186,165,0
187,166,1
188,26,1
189,167,1
190,168,0
191,169,1
192,170,1
193,10,1
194,105,1
195,171,1
196,172,0
197,54,0
198,173,0
199,15,1
81,174,1
200,175,0
201,176,0
117,177,0
202,178,0
203,179,1
204,180,1
205,181,0
206,182,1
207,183,0
208,184,0
107,185,1
209,186,0
210,187,0
211,188,0
212,189,1
213,190,0
214,191,0
215,61,0
216,192,0
217,193,0
218,69,1
2,194,1
66,15,1
19,111,0
2,195,1
219,196,1
220,52,1
66,15,1
221,197,0
222,26,1
223,90,0
107,198,1
224,199,1
113,200,0
225,201,0
129,202,1
226,84,1
227,203,1
81,204,1
228,205,1
229,91,0
230,206,0
35,207,1
231,208,0
232,209,0
233,210,1
234,211,0
62,212,0
235,213,1
156,214,0
236,215,0
237,216,0
238,189,1
239,217,0
240,117,0
241,218,0
242,219,1
243,220,1
244,193,0
245,221,1
246,222,1
247,223,1
19,27,0
248,51,1
136,224,0
129,225,1
35,226,1
249,26,1
172,227,1
250,228,0
107,42,1
251,229,0
252,230,0
253,231,0
254,232,1
255,15,1
256,233,0
257,234,1
42,235,1
258,236,0
259,23,0
260,140,0
261,237,1
262,238,0
263,239,1
55,15,1
264,215,0
265,240,1
266,137,0
267,241,0
268,242,0
269,243,0
270,52,1
271,244,1
272,245,0
273,177,0
274,237,1
98,246,0
275,247,0
276,248,1
277,249,0
278,42,1
279,15,1
280,250,1
281,15,1
282,26,1
283,251,0
284,252,1
285,253,0
286,254,0
130,255,1
287,256,0
288,257,0
218,15,1
289,258,0
290,259,0
93,260,1
291,251,0
145,261,1
292,262,0
293,21,0
294,142,1
295,26,1
296,42,1
297,263,0
298,264,1
81,265,1
299,266,1
300,267,0
301,268,0
302,269,0
303,270,0
2,271,1
304,272,0
305,273,0
306,26,1
81,274,1
171,275,1
307,276,1
19,277,0
308,42,1
309,39,1
310,278,0
311,27,0
312,279,0
93,65,1
313,280,0
145,281,1
314,15,1
315,282,1
316,283,1
317,284,0
318,285,0
14,286,0
319,287,1
6,42,1
320,288,0
321,289,0
322,290,0
323,174,1
324,160,1
35,239,1
19,291,0
325,292,0
326,293,0
327,193,0
328,294,1
329,15,1
330,15,1
331,295,0
332,73,0
333,296,0
35,84,1
334,222,1
335,297,0
336,298,0
337,299,0
338,300,0
111,301,0
117,302,0
339,303,0
340,304,0
95,305,0
341,306,1
2,307,1
342,298,0
343,308,0
344,309,1
83,15,1
345,219,1
123,26,1
346,310,0
347,311,0
348,148,0
349,15,1
350,15,1
258,131,0
183,266,1
351,15,1
352,312,1
353,313,1
170,314,0
354,315,0
111,316,0
129,317,1
355,318,0
356,319,0
357,182,0
358,320,0
42,321,1
35,322,1
359,323,0
360,324,0
361,325,0
362,326,0
363,327,0
364,328,0
339,329,0
106,330,1
344,10,1
35,331,1
330,15,1
180,15,1
365,332,0
99,162,0
366,287,1
367,333,1
368,334,0
81,335,1
369,336,0
370,337,0
371,338,0
372,202,0
373,339,1
374,39,1
375,340,0
376,341,1
377,342,1
378,343,0
379,344,0
380,42,1
381,15,1
382,15,1
383,345,0
384,346,0
385,347,1
386,348,0
387,349,0
342,350,0
136,55,0
388,351,0
158,352,0
389,353,0
390,15,1
391,90,1
392,354,0
2,355,1
393,38,1
394,42,1
395,15,1
396,356,0
397,357,0
398,358,0
356,359,0
399,360,1
400,361,0
401,58,0
402,15,1
403,34,1
2,362,1
404,363,0
106,364,1
405,15,1
406,365,1
310,366,0
57,48,0
81,367,1
407,368,0
408,128,1
409,369,0
410,26,1
411,370,0
307,371,1
412,30,0
413,98,1
414,372,0
415,373,0
416,374,0
417,42,1
35,375,1
35,376,1
418,377,0
2,378,1
35,379,1
35,380,1
419,381,0
342,382,0
107,383,1
420,16,1
421,384,1
422,385,0
423,386,0
424,387,0
425,388,0
161,327,0
426,227,1
81,389,1
427,15,1
428,390,1
35,391,1
429,392,0
430,393,0
218,15,1
431,134,0
432,394,0
433,26,1
434,395,0
435,396,1
436,397,0
437,15,1
2,398,1
438,232,1
439,275,1
440,399,1
441,15,1
442,42,1
107,400,1
311,401,0
138,15,1
443,402,0
444,403,0
91,404,0
445,405,1
446,406,0
156,407,0
447,408,1
448,10,1
93,409,1
449,410,1
450,288,0
451,411,0
452,412,0
453,413,0
35,414,1
19,415,0
454,15,1
455,16,0
456,10,1
457,15,1
458,416,0
459,81,0
460,417,0
461,26,1
462,418,1
463,419,1
464,15,1
81,420,1
465,421,0
35,422,1
81,423,1
161,424,0
447,88,1
264,425,0
466,426,0
35,6,1
467,427,0
81,428,1
112,429,0
468,430,0
469,312,1
429,431,0
37,432,0
2,433,1
2,67,1
470,434,1
471,435,1
472,254,0
473,230,0
59,436,1
474,201,0
475,437,0
476,438,0
477,439,0
478,440,0
479,441,0
480,442,0
481,110,0
81,170,1
482,407,0
81,42,1
117,443,0
483,215,0
484,444,0
99,445,0
485,15,1
486,446,0
339,447,0
487,448,0
69,90,1
28,339,1
76,407,0
488,266,1
489,449,0
490,69,1
491,227,1
492,450,0
126,330,0
493,451,0
