index,smiles
0,COC1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
1,C1=CC=C(C=C1)Cl
2,[Zn]
3,C[C@@H](C(=O)N[C@H](CCC(=O)O)C(=O)O)NC(=O)[C@@H](C)O[C@@H]1[C@H]([C@H](O[C@@H]([C@H]1O)CO)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
4,C1[C@H](O[C@H]([C@H]1F)N2C=NC3=C2N=CN=C3NN)CO
5,[17NH3]
6,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5
7,C(C(C(=O)O)S)(C(=O)O)S.[99Tc]
8,B#B
9,[113In]
10,C1=CC=C(C=C1)CN[C@@H](C2=CC=CC=C2)P(=O)(O)O
11,COC1C(C(C(C(O1)CO)O)O)O
12,C1=CC=C(C=C1)CN
13,C1=CC=C(C=C1)[C@H]2[C@H]([C@@H]2C(=O)O)C(C(=O)O)N
14,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CN(C)CCO)O.C1=CC(=CN=C1)C(=O)O
15,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
16,CCCCCCCCCCCCCCCC(=O)O
17,C(=O)(O)[O-].[OH-].[OH-].[OH-].[O-2].[Na+].[Mg+2].[Al+3].[Si]
18,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)O
19,C[C@]12CC[C@H]3[C@@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
20,C(CC(=O)C=[N+]=N)C(C(=O)O)N
21,CCN(CC)C(=O)[C@H]1CCC2[C@@]1(CCC3C2CC[C@@H]4[C@@]3(CCC(=O)N4C)C)C
22,CC(C)C(=O)N
23,[Na+].[Na+].[Cl-].[Cl-].[Cl-].[Cl-].[Pt+2]
24,[90Sr+2]
25,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O
26,C1COCCN1CC2=CC3=C(SC(=C3)S(=O)(=O)N)S(=O)(=O)N2C4=CC(=CC=C4)O
27,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)O)O)O)O)O)O)O)O
28,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
29,CN(CC1=CC=C(C=C1)Cl)S(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)N
30,C=CC(=O)N
